year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment,teachers_fte,school_id,street_location,city_location,fips,longitude,latitude,tract,county_fips_geo,place_fips,free_or_reduced_price_lunch,meps_poverty_pct,meps_poverty_se,meps_poverty_ptl,meps_mod_poverty_pct,meps_mod_poverty_ptl,read_test_pct_prof_midpt,math_test_pct_prof_midpt,salaries_teachers
mixed - most recent,370297001186,Albemarle Road Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,755,51,3701186,7800 Riding Trail Rd,Charlotte,North Carolina,-80.7295,35.1971,1910,37119,12000,742,32.3,0.989052,97,32.2,92,16,22,3577627
mixed - most recent,370297001187,Albemarle Road Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,897,57,3701187,6900 Democracy Drive,Charlotte,North Carolina,-80.729013,35.198649,1910,37119,12000,894,33.3,1.124818,99,33.2,93,31,21,3116841
mixed - most recent,370297001188,Alexander Graham Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1270,71,3701188,1800 Runnymede Lane,Charlotte,North Carolina,-80.832716,35.1667,2906,37119,12000,353,0.8,1.318229,5,0.7,3,54,51,3729356
mixed - most recent,370297001190,Allenbrook Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,242,19,3701190,1430 Allenbrook Dr,Charlotte,North Carolina,-80.915,35.2618,4304,37119,12000,239,32.7,0.991063,98,32.6,92,22,27,1553079
mixed - most recent,370297002910,Ardrey Kell High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,3494,164,3702910,10220 Ardrey Kell Road,Charlotte,North Carolina,-80.82665,35.02999,5844,37119,12000,168,0.3,0.735736,5,0.2,3,86,91,7385307
mixed - most recent,370297001192,Ashley Park PreK-8 School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,365,34,3701192,2401 Belfast Dr,Charlotte,North Carolina,-80.8907,35.2327,4000,37119,12000,357,33.2,0.920686,99,33.1,93,13,8,1874651
mixed - most recent,370297002870,Bailey Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1370,79,3702870,11900 Bailey Rd,Cornelius,North Carolina,-80.838,35.4675,6405,37119,14700,141,4.6,0.642264,12,4.5,14,69,68,4305484
mixed - most recent,370297001193,Bain Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,932,57,3701193,11540 Bain School Rd,Mint Hill,North Carolina,-80.648432,35.174982,5714,37119,43480,114,7.8,0.477652,21,7.7,26,60,71,2901230
mixed - most recent,370297003026,Ballantyne Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,880,55,3703026,15425 Scholastic Dr,Charlotte,North Carolina,-80.856091,35.037348,5838,37119,12000,87,5.5,0.541215,14,5.4,17,59,64,2283068
mixed - most recent,370297003023,Barnette Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,700,43,3703023,13659 Beatties Ford Rd,Huntersville,North Carolina,-80.9249,35.3998,6213,37119,33120,90,6.3,0.615357,16,6.2,20,53,51,2141990
