GEOID,state,county,tract,NAME,total_people,percent_hispanic,percent_nonhisp,percent_white_nonhisp,percent_black_nonhisp,percent_aian_nonhisp,percent_asian_nonhisp,percent_nhpi_nonhisp,percent_other_nonhisp,percent_two_or_more_nonhisp,total_units_in_structure,boat_rv_van,mobile_home,50_plus_units,20_to_49_units,10_to_19_units,5_to_9_units,3_or_4_units,2_units,1_unit_attached_home,1_unit_detached_home,percent_kids_under18,percent_kids_under6,percent_kids_6to17,housing_units,median_gross_rent,median_owner_cost_no_mortgage,median_owner_cost_mortgage,median_owner_cost,percent_renter_occupied,percent_owner_occupied,black_female_under5,black_female_5to9,black_female_10to14,black_female_15to17,black_male_under5,black_male_5to9,black_male_10to14,black_male_15to17,white_male_under5,white_male_5to9,white_male_10to14,white_male_15to17,white_female_under5,white_female_5to9,white_female_10to14,white_female_15to17,native_male_under5,native_male_5to9,native_male_10to14,native_male_15to17,native_female_under5,native_female_5to9,native_female_10to14,native_female_15to17,asian_male_under5,asian_male_5to9,asian_male_10to14,asian_male_15to17,asian_female_under5,asian_female_5to9,asian_female_10to14,asian_female_15to17,hisp_male_under5,hisp_male_5to9,hisp_male_10to14,hisp_male_15to17,hisp_female_under5,hisp_female_5to9,hisp_female_10to14,hisp_female15to17,nhpi_male_under5,nhpi_male_5to9,nhpi_male_10to14,nhpi_male_15to17,nhpi_female_under5,nhpi_female_5to9,nhpi_female_10to14,nhpi_female_15to17,other_male_under5,other_male_5to9,other_male_10to14,other_male_15to17,other_female_under5,other_female_5to9,other_female_10to14,other_female_15to17
37119000101,37,119,000101,"Census Tract 1.01, Mecklenburg County, North Carolina",1159,0.23468507333908542,0.7653149266609146,0.4918032786885246,0.06816220880069025,0,0.11734253666954271,0,0,0.08800690250215704,748,0,69,599,0,0,0,0,0,0,80,1,0,1,748,1738,NA,NA,NA,0.9405940594059405,0.0594059405940594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000102,37,119,000102,"Census Tract 1.02, Mecklenburg County, North Carolina",2409,0.12079701120797011,0.8792029887920298,0.6836861768368617,0.05562474055624741,0.028227480282274803,0.0813615608136156,0,0,0.030303030303030304,2068,0,0,1892,167,0,0,0,0,0,9,1,0,1,2068,1729,NA,2667,2628,0.8070913461538461,0.19290865384615385,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000103,37,119,000103,"Census Tract 1.03, Mecklenburg County, North Carolina",2163,0.09153952843273232,0.9084604715672677,0.49144706426259827,0.20110957004160887,0,0.1396208969024503,0,0.027739251040221916,0.04854368932038835,1113,0,0,1011,25,0,13,0,0,49,15,1,0.8514851485148515,0.1485148514851485,1113,1976,NA,2016,1895,0.7298624754420432,0.27013752455795675,0,0,0,0,0,0,0,0,16,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000104,37,119,000104,"Census Tract 1.04, Mecklenburg County, North Carolina",1256,0.02786624203821656,0.9721337579617835,0.8686305732484076,0.06847133757961783,0,0.03503184713375796,0,0,0,1551,0,0,1259,131,0,37,0,0,35,89,NA,NA,NA,1551,1789,1120,2609,2298,0.4440639269406393,0.5559360730593608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000301,37,119,000301,"Census Tract 3.01, Mecklenburg County, North Carolina",703,0.05547652916073969,0.9445234708392604,0.8008534850640113,0.07539118065433854,0,0.06827880512091039,0,0,0,650,0,0,584,41,15,6,4,0,0,0,1,1,0,650,1725,NA,1792,1792,0.8414414414414414,0.15855855855855855,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000302,37,119,000302,"Census Tract 3.02, Mecklenburg County, North Carolina",895,0.09497206703910614,0.9050279329608939,0.4134078212290503,0.39217877094972065,0,0,0,0,0.09944134078212291,880,0,0,702,15,52,84,0,0,12,15,1,0.41509433962264153,0.5849056603773585,880,1629,907,2225,1591,0.7945425361155698,0.20545746388443017,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000401,37,119,000401,"Census Tract 4.01, Mecklenburg County, North Carolina",1678,0.014302741358760428,0.9856972586412396,0.766388557806913,0.14898688915375446,0,0.058402860548271755,0,0,0.011918951132300357,1171,0,0,1060,7,21,8,9,0,50,16,1,0.8518518518518519,0.14814814814814814,1171,1556,NA,1900,1885,0.8954248366013072,0.10457516339869281,0,0,0,0,23,0,0,0,15,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000402,37,119,000402,"Census Tract 4.02, Mecklenburg County, North Carolina",2059,0.03108305002428363,0.9689169499757163,0.860611947547353,0.06362311801845556,0,0.017484215638659543,0,0,0.027197668771248178,1435,0,0,1208,30,0,11,0,0,136,50,1,1,0,1435,1696,NA,2145,2145,0.9627575277337559,0.03724247226624406,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000501,37,119,000501,"Census Tract 5.01, Mecklenburg County, North Carolina",2100,0.05285714285714286,0.9471428571428572,0.7014285714285714,0.18333333333333332,4.761904761904762e-4,0.0038095238095238095,0,0.007142857142857143,0.05095238095238095,1094,0,0,583,71,61,0,0,38,311,30,NA,NA,NA,1094,1619,NA,1887,1861,0.7128146453089245,0.28718535469107553,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000502,37,119,000502,"Census Tract 5.02, Mecklenburg County, North Carolina",1420,0.10704225352112676,0.8929577464788733,0.576056338028169,0.223943661971831,0,0.08169014084507042,0,0,0.011267605633802818,960,0,0,712,128,29,0,91,0,0,0,1,1,0,960,1359,NA,NA,677,0.9184177997527813,0.0815822002472188,120,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
