GEOID,state,county,tract,NAME,total_people,percent_hispanic,percent_nonhisp,percent_white_nonhisp,percent_black_nonhisp,percent_aian_nonhisp,percent_asian_nonhisp,percent_nhpi_nonhisp,percent_other_nonhisp,percent_two_or_more_nonhisp,total_units_in_structure,boat_rv_van,mobile_home,50_plus_units,20_to_49_units,10_to_19_units,5_to_9_units,3_or_4_units,2_units,1_unit_attached_home,1_unit_detached_home,percent_kids_under18,percent_kids_under6,percent_kids_6to17,housing_units,median_gross_rent,median_owner_cost_no_mortgage,median_owner_cost_mortgage,median_owner_cost,percent_renter_occupied,percent_owner_occupied,black_female_under5,black_female_5to9,black_female_10to14,black_female_15to17,black_male_under5,black_male_5to9,black_male_10to14,black_male_15to17,white_male_under5,white_male_5to9,white_male_10to14,white_male_15to17,white_female_under5,white_female_5to9,white_female_10to14,white_female_15to17,native_male_under5,native_male_5to9,native_male_10to14,native_male_15to17,native_female_under5,native_female_5to9,native_female_10to14,native_female_15to17,asian_male_under5,asian_male_5to9,asian_male_10to14,asian_male_15to17,asian_female_under5,asian_female_5to9,asian_female_10to14,asian_female_15to17,hisp_male_under5,hisp_male_5to9,hisp_male_10to14,hisp_male_15to17,hisp_female_under5,hisp_female_5to9,hisp_female_10to14,hisp_female15to17,nhpi_male_under5,nhpi_male_5to9,nhpi_male_10to14,nhpi_male_15to17,nhpi_female_under5,nhpi_female_5to9,nhpi_female_10to14,nhpi_female_15to17,other_male_under5,other_male_5to9,other_male_10to14,other_male_15to17,other_female_under5,other_female_5to9,other_female_10to14,other_female_15to17
37119000503,37,119,000503,"Census Tract 5.03, Mecklenburg County, North Carolina",1674,0.0979689366786141,0.9020310633213859,0.5,0.35603345280764637,0,0,0,0,0.045997610513739545,1283,0,39,275,307,178,219,33,15,18,199,NA,NA,NA,1283,345,NA,1865,1847,0.6204044117647058,0.3795955882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000600,37,119,000600,"Census Tract 6, Mecklenburg County, North Carolina",2753,0.03269160915365056,0.9673083908463495,0.43516164184525974,0.42862332001452963,0,0.06937885942608064,0,0.003995641118779513,0.030148928441699963,1896,0,2,760,389,178,143,27,0,258,139,1,0.5411255411255411,0.4588744588744589,1896,1351,616,2048,1918,0.760759493670886,0.23924050632911392,84,161,6,6,109,36,18,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
37119000700,37,119,000700,"Census Tract 7, Mecklenburg County, North Carolina",1373,0.05753823743627094,0.942461762563729,0.5251274581209031,0.33211944646758923,0.018936635105608158,0.05462490895848507,0,0,0.011653313911143482,971,0,0,593,96,31,0,0,0,79,172,Inf,NA,Inf,971,1598,300,1925,418,0.8331491712707182,0.16685082872928178,0,0,0,0,0,0,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000800,37,119,000800,"Census Tract 8, Mecklenburg County, North Carolina",2991,0.013373453694416584,0.9866265463055834,0.24974924774322968,0.6894015379471748,0,0.023737880307589436,0,0.006352390504847877,0.017385489802741558,1500,0,0,236,91,119,86,22,85,194,667,1.0390879478827362,0.36156351791530944,0.6775244299674267,1500,1051,359,1512,1058,0.5437928408225438,0.4562071591774562,26,65,51,48,148,134,85,34,7,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119000900,37,119,000900,"Census Tract 9, Mecklenburg County, North Carolina",1878,0.08466453674121406,0.9153354632587859,0.4579339723109691,0.4281150159744409,0.0026624068157614484,0.006389776357827476,0,0,0.02023429179978701,876,0,0,129,22,0,13,35,21,10,646,2.2222222222222223,1.6262626262626263,0.5959595959595959,876,1343,548,1955,1409,0.36893203883495146,0.6310679611650486,43,50,0,0,28,0,0,23,38,6,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119001000,37,119,001000,"Census Tract 10, Mecklenburg County, North Carolina",3066,0.05348988910632746,0.9465101108936725,0.7811480756686237,0.08708414872798434,0.0032615786040443573,0.024787997390737115,0,0.008806262230919765,0.04142204827136334,1882,0,0,565,83,101,13,37,110,59,914,1,0.44166666666666665,0.5583333333333333,1882,1361,604,2227,2098,0.5250596658711217,0.47494033412887826,0,0,0,0,0,0,0,0,70,31,12,19,59,71,37,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119001100,37,119,001100,"Census Tract 11, Mecklenburg County, North Carolina",3484,0.035878300803673935,0.9641216991963261,0.8424225028702641,0.06859931113662457,0,0.030998851894374284,0,0,0.022101033295063147,1777,0,65,317,174,34,20,0,21,37,1109,1.0085324232081911,0.36177474402730375,0.6467576791808873,1777,1664,564,2602,2195,0.5813679245283019,0.4186320754716981,0,0,0,0,0,0,0,0,100,103,142,0,62,58,88,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119001200,37,119,001200,"Census Tract 12, Mecklenburg County, North Carolina",5045,0.22576808721506442,0.7742319127849355,0.5488602576808721,0.18909811694747275,0,0.028146679881070367,0,0.002576808721506442,0.005550049554013875,2333,0,0,0,21,228,376,104,45,47,1512,1,0.526508226691042,0.473491773308958,2333,1165,492,1525,1388,0.4206827309236948,0.5793172690763052,0,16,52,0,0,19,58,0,112,82,44,21,81,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,71,139,59,46,67,0,0,0,0,0,0,0,0,0,0,45,41,70,59,46,67,0,0
37119001300,37,119,001300,"Census Tract 13, Mecklenburg County, North Carolina",4307,0.10842814023682378,0.8915718597631762,0.4648247039702809,0.3517529602971906,0,0.04457859298815881,0,0.011144648247039703,0.01927095426050615,1986,0,0,8,93,0,62,66,383,97,1277,1.0387596899224807,0.11434108527131782,0.9244186046511628,1986,1072,450,1851,1417,0.5329275041505257,0.46707249584947425,0,59,36,26,0,39,37,29,18,50,33,23,10,36,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,24,0,0
37119001400,37,119,001400,"Census Tract 14, Mecklenburg County, North Carolina",3711,0.11209916464564808,0.8879008353543519,0.5389382915656158,0.2293182430611695,0.005119913769873349,0.03018054432767448,0,0,0.08434384263001886,1765,0,0,252,42,100,35,102,47,217,970,1.4488372093023256,0.7488372093023256,0.7,1765,1518,397,1725,1576,0.4844796104686549,0.515520389531345,96,27,61,0,10,29,0,0,26,33,5,13,99,28,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,44,15,0,11,0,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
37119001504,37,119,001504,"Census Tract 15.04, Mecklenburg County, North Carolina",6688,0.11498205741626795,0.885017942583732,0.13232655502392343,0.5946471291866029,0,0.10107655502392345,0,0.009868421052631578,0.04709928229665072,2686,0,0,0,172,518,230,125,31,223,1387,1.0272479564032697,0.5115803814713896,0.5156675749318801,2686,1107,398,942,847,0.5462315462315462,0.45376845376845376,134,134,0,19,454,0,73,87,37,13,8,23,0,0,24,0,0,0,0,0,0,0,0,0,20,86,45,0,66,0,28,23,8,93,40,0,0,72,64,0,0,0,0,0,0,0,0,0,0,78,33,0,0,43,64,19
37119001505,37,119,001505,"Census Tract 15.05, Mecklenburg County, North Carolina",4268,0.5684161199625117,0.43158388003748827,0.2169634489222118,0.1583880037488285,2.3430178069353328e-4,0.039831302717900655,0,0,0.016166822867853797,1523,0,510,47,35,0,0,0,0,27,904,1.0155210643015522,0.4138950480413895,0.6016260162601627,1523,1040,391,1332,937,0.17797179314976494,0.822028206850235,0,32,0,0,9,13,13,13,0,13,0,0,15,16,0,14,0,0,0,0,0,0,0,0,40,0,20,0,0,0,0,0,147,221,39,76,347,170,122,103,0,0,0,0,0,0,0,0,64,221,0,76,58,170,84,103
37119001507,37,119,001507,"Census Tract 15.07, Mecklenburg County, North Carolina",5298,0.4794261985654964,0.5205738014345036,0.061155152887882216,0.4514911287278218,0,0,0,0.007550018875047188,3.7750094375235937e-4,1503,0,0,31,62,262,456,199,0,26,467,1.0511330621731552,0.3747821034282394,0.6763509587449158,1503,1046,339,998,981,0.7883672039243167,0.21163279607568325,0,11,166,82,67,92,96,0,0,0,0,0,59,21,6,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,169,180,174,174,206,173,151,35,0,0,0,0,0,0,0,0,147,47,49,97,102,145,116,2
37119001508,37,119,001508,"Census Tract 15.08, Mecklenburg County, North Carolina",6364,0.24340037712130735,0.7565996228786926,0.20647391577624136,0.5174418604651163,0.0051854179761156504,0.009270898805782527,0,0,0.018227529855436832,2590,0,0,0,15,193,261,100,0,297,1724,1.132716049382716,0.35617283950617284,0.7765432098765432,2590,963,393,1231,1161,0.4165626300457761,0.5834373699542239,224,158,139,0,22,0,211,174,38,0,0,42,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,125,95,35,22,111,119,174,56,0,0,0,0,0,0,0,0,45,54,21,22,65,40,63,41
37119001509,37,119,001509,"Census Tract 15.09, Mecklenburg County, North Carolina",3765,0.21593625498007968,0.7840637450199203,0.034528552456839307,0.6820717131474103,0,0.05179282868525897,0,0,0.015670650730411687,1172,0,57,18,0,0,104,0,106,58,829,1.3197879858657244,0.28091872791519434,1.03886925795053,1172,1100,437,1044,969,0.3333333333333333,0.6666666666666666,0,54,236,107,13,245,252,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,34,0,0,0,18,36,73,7,49,70,162,30,0,0,0,0,0,0,0,0,0,0,0,1,29,35,102,7
37119001510,37,119,001510,"Census Tract 15.10, Mecklenburg County, North Carolina",3444,0.14227642276422764,0.8577235772357723,0.052555168408826944,0.717479674796748,0,0.041811846689895474,0,0,0.04587688734030197,1227,0,16,29,23,135,33,66,47,6,872,2.671875,0.8229166666666666,1.8489583333333333,1227,924,468,1155,1036,0.4817332200509771,0.5182667799490229,124,65,119,31,14,21,22,13,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,0,0,28,29,0,18,0,33,0,0,0,0,0,0,0,0,0,0,28,29,0,18,0,33,0
37119001603,37,119,001603,"Census Tract 16.03, Mecklenburg County, North Carolina",4637,0.2991158076342463,0.7008841923657537,0.3159370282510244,0.3105456113866724,0,0.05197325857235281,0,8.626266982963123e-4,0.021565667457407806,2061,0,0,235,86,152,185,61,0,0,1342,1.1909722222222223,0.23958333333333334,0.9513888888888888,2061,1145,298,1230,949,0.6159954622802042,0.3840045377197958,43,18,6,0,0,0,238,83,29,9,11,15,0,16,32,7,0,0,0,0,36,0,0,32,0,0,0,0,0,0,9,0,85,86,35,85,36,47,31,66,0,0,0,0,0,0,0,0,44,0,11,58,0,31,0,34
37119001605,37,119,001605,"Census Tract 16.05, Mecklenburg County, North Carolina",1741,0.2366456059735784,0.7633543940264216,0.31591039632395174,0.3630097645031591,0,0.04192992533026996,0.010913268236645606,0,0.03159103963239517,863,0,0,3,19,174,325,6,0,5,331,1,0.445993031358885,0.554006968641115,863,916,500,1529,960,0.7490247074122237,0.25097529258777634,24,53,0,0,0,12,0,0,9,4,0,4,7,4,4,9,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,49,33,0,18,34,15,15,6,0,0,0,0,0,0,0,0,49,33,0,0,34,0,15
37119001606,37,119,001606,"Census Tract 16.06, Mecklenburg County, North Carolina",4675,0.36620320855614974,0.6337967914438503,0.2532620320855615,0.22481283422459894,0,0.13390374331550803,0,0.0074866310160427805,0.014331550802139038,1630,0,0,53,28,196,267,81,80,11,914,1.013906447534766,0.3185840707964602,0.695322376738306,1630,1088,455,1309,1134,0.6270627062706271,0.37293729372937295,0,106,11,11,33,0,160,1,24,4,0,4,45,0,0,1,0,0,0,0,0,0,0,0,0,42,0,8,17,38,0,34,135,34,68,71,11,12,142,72,0,0,0,0,0,0,0,0,102,34,68,61,11,0,142,72
37119001607,37,119,001607,"Census Tract 16.07, Mecklenburg County, North Carolina",2803,0.3235818765608277,0.6764181234391723,0.17017481270067786,0.4958972529432751,0.00463788797716732,0.005708169818052087,0,0,0,1181,0,0,135,69,380,258,19,10,0,310,1.0566037735849056,0.5058962264150944,0.5507075471698113,1181,1136,745,1228,1152,0.782967032967033,0.21703296703296704,80,36,13,0,111,40,115,0,16,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,91,67,46,26,10,64,30,0,0,0,0,0,0,0,0,144,90,20,37,26,9,63,29
37119001608,37,119,001608,"Census Tract 16.08, Mecklenburg County, North Carolina",4224,0.31889204545454547,0.6811079545454546,0.13896780303030304,0.42211174242424243,0,0.07149621212121213,0,0.038825757575757576,0.009706439393939394,1828,0,11,11,12,0,261,156,33,154,1190,1.2283563362609786,0.45545796737766625,0.7728983688833124,1828,1109,383,940,678,0.5731102850061958,0.42688971499380424,41,50,21,80,77,69,59,0,15,0,8,16,0,8,0,4,0,0,0,0,0,0,0,0,13,37,35,0,14,14,14,0,96,94,73,13,88,44,2,60,0,0,0,0,0,0,0,0,44,61,22,13,74,8,2,60
37119001609,37,119,001609,"Census Tract 16.09, Mecklenburg County, North Carolina",3006,0.4184963406520293,0.5815036593479708,0.15103127079174983,0.3093812375249501,0,0.05888223552894212,0,0.019627411842980707,0.04258150365934797,1284,0,0,34,101,225,144,169,11,92,508,1.1308677098150783,0.31436699857752487,0.8165007112375533,1284,1063,475,1223,874,0.5953372189841799,0.40466278101582015,13,59,13,0,23,28,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,6,0,0,73,77,70,117,39,102,52,0,0,0,0,0,0,0,0,0,52,7,46,49,0,51,11,0
37119001701,37,119,001701,"Census Tract 17.01, Mecklenburg County, North Carolina",4391,0.23912548394443178,0.7608745160555682,0.3684809838305625,0.34206331131860623,0.009565019357777272,0.008198588020951946,0,0,0.032566613527670235,2086,0,0,118,271,517,387,95,63,195,440,1.0202764976958525,0.447926267281106,0.5723502304147465,2086,1114,522,1774,1571,0.7777777777777778,0.2222222222222222,113,0,75,9,86,125,50,0,35,22,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,98,6,197,57,97,0,0,0,0,0,0,0,0,0,0,101,98,6,89,57,97,0
37119001702,37,119,001702,"Census Tract 17.02, Mecklenburg County, North Carolina",6912,0.3855613425925926,0.6144386574074074,0.2504340277777778,0.2743055555555556,0,0.05685763888888889,0,0.00535300925925926,0.027488425925925927,2439,0,0,13,364,317,291,70,132,176,1076,1.0099667774086378,0.42967884828349945,0.5802879291251384,2439,1024,455,1272,1084,0.6223194748358862,0.37768052516411377,66,8,50,9,182,113,38,27,11,51,61,0,10,103,11,9,0,0,0,0,0,0,0,0,46,0,0,0,29,20,0,32,187,129,207,70,210,68,178,27,0,0,0,0,0,0,0,0,159,98,171,53,171,25,40,27
37119001801,37,119,001801,"Census Tract 18.01, Mecklenburg County, North Carolina",1316,0.0364741641337386,0.9635258358662614,0.601063829787234,0.35030395136778114,0,0.0121580547112462,0,0,0,766,0,13,79,6,25,63,97,23,87,373,1,0.41706161137440756,0.5829383886255924,766,1012,477,1426,1344,0.7339699863574352,0.2660300136425648,22,22,11,7,41,20,0,8,0,24,38,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119001802,37,119,001802,"Census Tract 18.02, Mecklenburg County, North Carolina",3393,0.08930150309460655,0.9106984969053935,0.5705865016209843,0.24786324786324787,0.005305039787798408,0.05334512231063955,0,0,0.03359858532272325,1842,0,0,29,65,133,257,179,34,273,872,1,0.38181818181818183,0.6181818181818182,1842,936,428,1301,1107,0.5581797235023042,0.44182027649769584,40,10,113,10,0,0,38,26,36,16,14,0,24,21,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,23,60,0,0,0,0,32,0,0,0,0,0,0,0,0,0,23,24,0,0,0,0,32
37119001910,37,119,001910,"Census Tract 19.10, Mecklenburg County, North Carolina",5512,0.37209724238026126,0.6279027576197388,0.10957910014513789,0.3289187227866473,0.00816400580551524,0.13697387518142234,0,0,0.04426705370101597,2050,0,0,17,279,442,290,22,0,30,970,1.1836206896551724,0.5810344827586207,0.6025862068965517,2050,992,453,1160,1082,0.5685967657798644,0.43140323422013566,105,50,39,11,19,0,47,49,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,59,37,0,12,13,17,0,43,148,28,70,53,210,149,118,60,0,0,0,0,0,0,0,0,102,0,55,53,44,54,70,60
37119001911,37,119,001911,"Census Tract 19.11, Mecklenburg County, North Carolina",5610,0.17237076648841354,0.8276292335115865,0.18609625668449198,0.5165775401069519,0.0033868092691622105,0.0964349376114082,0,0.004456327985739751,0.02067736185383244,2197,0,0,0,56,21,94,27,0,9,1990,1.5253772290809329,0.7846364883401921,0.7407407407407407,2197,1198,416,1113,1043,0.34881516587677724,0.6511848341232227,46,83,10,42,216,95,46,10,0,22,25,1,28,34,21,4,0,0,0,0,0,0,0,0,27,41,0,0,58,24,21,0,0,59,21,15,137,11,45,24,0,0,0,0,0,0,0,0,0,59,35,2,137,11,37,24
37119001914,37,119,001914,"Census Tract 19.14, Mecklenburg County, North Carolina",4087,0.18840225103988256,0.8115977489601175,0.36016638120871053,0.3060924883777832,0,0.11646684609738195,0,0,0.028872033276241743,1394,0,0,92,118,117,78,159,0,7,823,1.4419970631424377,0.723935389133627,0.7180616740088106,1394,964,461,1348,1130,0.6124260355029586,0.3875739644970414,70,0,0,39,167,0,33,27,108,7,68,0,53,11,10,0,0,0,0,0,0,0,0,0,29,0,29,25,0,0,0,34,1,91,51,22,53,6,42,22,0,0,0,0,0,0,0,0,1,47,19,0,0,2,42,0
37119001916,37,119,001916,"Census Tract 19.16, Mecklenburg County, North Carolina",4355,0.1912743972445465,0.8087256027554535,0.287256027554535,0.42755453501722157,0,0.08220436280137773,0,0,0.011710677382319174,1739,0,0,0,193,67,69,31,38,150,1191,1.0352170352170351,0.3194103194103194,0.7158067158067158,1739,1215,432,1152,917,0.34986945169712796,0.6501305483028721,108,57,123,65,57,156,102,61,32,31,47,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28,10,0,40,0,0,41,0,34,41,141,16,21,0,0,0,0,0,0,0,0,0,41,0,34,41,83,0,0
37119001917,37,119,001917,"Census Tract 19.17, Mecklenburg County, North Carolina",4425,0.3609039548022599,0.6390960451977401,0.3306214689265537,0.2592090395480226,0,0.021016949152542375,0,0,0.02824858757062147,1441,0,169,0,0,0,8,0,0,161,1103,1.1396648044692737,0.24953445065176907,0.8901303538175046,1441,1186,465,1095,887,0.4981631153563556,0.5018368846436444,102,30,0,12,47,51,0,33,32,20,25,27,6,68,47,15,0,0,0,0,0,0,0,0,0,20,0,0,0,23,0,0,14,98,243,0,33,91,140,44,0,0,0,0,0,0,0,0,14,71,175,0,0,68,77,35
37119001918,37,119,001918,"Census Tract 19.18, Mecklenburg County, North Carolina",4160,0.23846153846153847,0.7615384615384615,0.16682692307692307,0.5346153846153846,0.018509615384615385,0.03581730769230769,0,0.0057692307692307696,0,1881,0,0,89,117,553,275,247,48,320,232,1.0261348005502062,0.42916093535075656,0.5969738651994498,1881,1079,405,1020,861,0.7541176470588236,0.24588235294117647,96,9,41,8,79,100,85,27,59,8,0,0,0,13,0,0,5,0,0,0,39,0,4,0,0,0,0,0,0,0,0,0,126,105,38,0,29,37,61,0,0,0,0,0,0,0,0,0,0,32,38,0,26,37,57,0
