school_name,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
Albemarle Road Elementary,"7800 Riding Trail Rd, Charlotte, NC 28212","7800 Riding Trail Rd, Charlotte, North Carolina, 28212",-80.73069330350943,35.19735639713796,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.73069330399994 35.19735639700008),A,"7800 Riding Trail Rd, Charlotte, NC, 28212, USA",7800 Riding Trail Rd,,,"7800 Riding Trail Rd, Charlotte, North Carolina, 28212",,,20.0,,7800,,,,,,,Riding Trail,Rd,,,,,,,,,7800 Riding Trail Rd,,,,,,28212,4616,USA,United States,ENG,0.0,-80.729361,35.197029,-80.730361,-80.72836099999999,35.196029,35.198029,
Alexander Graham Middle,"1800 Runnymede Lane, Charlotte, NC 28211","1800 Runnymede Ln, Charlotte, North Carolina, 28211",-80.83284726340231,35.16553904841513,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.83284726299996 35.16553904800003),A,"1800 Runnymede Ln, Charlotte, NC, 28211, USA",1800 Runnymede Ln,,,"1800 Runnymede Ln, Charlotte, North Carolina, 28211",,,20.0,,1800,,,,,,,Runnymede,Ln,,,,,,,,,1800 Runnymede Ln,,,,,,28211,2652,USA,United States,ENG,0.0,-80.83296,35.166825,-80.83396,-80.83196,35.165825000000005,35.167825,
Allenbrook Elementary,"1430 Allenbrook Dr, Charlotte, NC 28208","1430 Allenbrook Dr, Charlotte, North Carolina, 28208",-80.91359853219939,35.26192310877733,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.91359853199998 35.26192310900007),A,"1430 Allenbrook Dr, Charlotte, NC, 28208, USA",1430 Allenbrook Dr,,,"1430 Allenbrook Dr, Charlotte, North Carolina, 28208",,,20.0,,1430,,,,,,,Allenbrook,Dr,,,,,,,,,1430 Allenbrook Dr,,,,,,28208,1605,USA,United States,ENG,0.0,-80.915103,35.261703,-80.916103,-80.914103,35.260703,35.262702999999995,
Ardrey Kell High School,"10220 Ardrey Kell Road, Charlotte, NC 28277","10220 Ardrey Kell Rd, Charlotte, North Carolina, 28277",-80.82647450170211,35.02826583917034,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.82647450199994 35.02826583900003),A,"10220 Ardrey Kell Rd, Charlotte, NC, 28277, USA",10220 Ardrey Kell Rd,,,"10220 Ardrey Kell Rd, Charlotte, North Carolina, 28277",,,20.0,,10220,,,,,,,Ardrey Kell,Rd,,,,,,,,,10220 Ardrey Kell Rd,,,,,,28277,4328,USA,United States,ENG,0.0,-80.8268625,35.029818000000006,-80.82786250000001,-80.8258625,35.02881800000001,35.030818000000004,
Ashley Park PreK-8 School,"2401 Belfast Dr, Charlotte, NC 28208","2401 Belfast Dr, Charlotte, North Carolina, 28208",-80.89140607060439,35.23225240804398,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.89140607099995 35.23225240800008),A,"2401 Belfast Dr, Charlotte, NC, 28208, USA",2401 Belfast Dr,,,"2401 Belfast Dr, Charlotte, North Carolina, 28208",,,20.0,,2401,,,,,,,Belfast,Dr,,,,,,,,,2401 Belfast Dr,,,,,,28208,3804,USA,United States,ENG,0.0,-80.8910775,35.232786000000004,-80.8920775,-80.89007749999999,35.23178600000001,35.233786,
Bailey Middle,"11900 Bailey Rd, Cornelius, NC 28031","11900 Bailey Rd, Cornelius, North Carolina, 28031",-80.83782954729087,35.4684328497611,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Cornelius,,POINT (-80.83782954699996 35.46843285000006),A,"11900 Bailey Rd, Cornelius, NC, 28031, USA",11900 Bailey Rd,,,"11900 Bailey Rd, Cornelius, North Carolina, 28031",,,20.0,,11900,,,,,,,Bailey,Rd,,,,,,,,,11900 Bailey Rd,,,,,,28031,9124,USA,United States,ENG,0.0,-80.837505,35.467524,-80.838505,-80.83650499999999,35.466524,35.468523999999995,
Bain Elementary,"11540 Bain School Rd, Mint Hill, NC 28227","11540 Bain School Rd, Charlotte, North Carolina, 28227",-80.64779923148951,35.175164456460976,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.64779923099996 35.17516445600006),A,"11540 Bain School Rd, Charlotte, NC, 28227, USA",11540 Bain School Rd,,,"11540 Bain School Rd, Charlotte, North Carolina, 28227",,,20.0,,11540,,,,,,,Bain School,Rd,,,,,,,,,11540 Bain School Rd,,,,,,28227,7552,USA,United States,ENG,0.0,-80.6494275,35.174079000000006,-80.6504275,-80.6484275,35.17307900000001,35.175079000000004,
Ballantyne Elementary,"15425 Scholastic Dr, Charlotte, NC 28277","15425 Scholastic Dr, Charlotte, North Carolina, 28277",-80.85669730997203,35.03684224011745,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.85669730999996 35.03684224000006),A,"15425 Scholastic Dr, Charlotte, NC, 28277, USA",15425 Scholastic Dr,,,"15425 Scholastic Dr, Charlotte, North Carolina, 28277",,,20.0,,15425,,,,,,,Scholastic,Dr,,,,,,,,,15425 Scholastic Dr,,,,,,28277,4109,USA,United States,ENG,0.0,-80.85619799999999,35.037261,-80.857198,-80.85519799999999,35.036261,35.038261,
Berewick Elementary,"5910 Dixie River Rd, Charlotte, NC 28278","5910 Dixie River Rd, Charlotte, North Carolina, 28278",-80.97880597042541,35.173108868803176,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.97880596999994 35.17310886900003),A,"5910 Dixie River Rd, Charlotte, NC, 28278, USA",5910 Dixie River Rd,,,"5910 Dixie River Rd, Charlotte, North Carolina, 28278",,,20.0,,5910,,,,,,,Dixie River,Rd,,,,,,,,,5910 Dixie River Rd,,,,,,28278,9506,USA,United States,ENG,0.0,-80.9786385,35.17398,-80.97963850000001,-80.9776385,35.17298,35.17498,
Berryhill School,"10501 Windy Grove Rd, Charlotte, NC 28278","10501 Windy Grove Rd, Charlotte, North Carolina, 28278",-80.99089217147588,35.21354222419112,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.99089217099998 35.21354222400004),A,"10501 Windy Grove Rd, Charlotte, NC, 28278, USA",10501 Windy Grove Rd,,,"10501 Windy Grove Rd, Charlotte, North Carolina, 28278",,,20.0,,10501,,,,,,,Windy Grove,Rd,,,,,,,,,10501 Windy Grove Rd,,,,,,28278,9227,USA,United States,ENG,0.0,-80.990388,35.21284200000001,-80.991388,-80.98938799999999,35.21184200000001,35.21384200000001,
