School Name,School ID - NCES Assigned,County Name,ANSI/FIPS State Code,Web Site URL,Location Address 1,Locale,Latitude,Longitude,State School ID,School Level (SY 2017-18 onward),Total Students,Free Lunch Eligible,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
Albemarle Road Elementary,3.70297E+11,Mecklenburg County,37,http://albemarleroadelementary.wearecms.com,7800 Riding Trail Rd,11-City: Large,35.1971,-80.7295,NC-600-300,Elementary,755,742,2,113,406,209,14,0,11,755,51.18,14.75
Alexander Graham Middle,3.70297E+11,Mecklenburg County,37,http://alexandergrahammiddleschool.wearecms.com,1800 Runnymede Lane,11-City: Large,35.1667,-80.832716,NC-600-399,Middle,1270,353,3,35,398,314,484,1,35,1270,71.49,17.76
Allenbrook Elementary,3.70297E+11,Mecklenburg County,37,http://allenbrookelementaryschool.wearecms.com,1430 Allenbrook Dr,11-City: Large,35.2618,-80.915,NC-600-308,Elementary,242,239,0,30,52,141,9,1,9,242,19.5,12.41
Ardrey Kell High School,3.70297E+11,Mecklenburg County,37,http://ardreykellhighschool.wearecms.com,10220 Ardrey Kell Road,11-City: Large,35.02999,-80.82665,NC-600-302,High,3494,168,5,872,375,436,1703,6,97,3494,164.99,21.18
Ashley Park PreK-8 School,3.70297E+11,Mecklenburg County,37,http://ashleyparkprek8school.wearecms.com,2401 Belfast Dr,11-City: Large,35.2327,-80.8907,NC-600-311,Elementary,365,357,2,7,58,289,2,0,7,365,34,10.74
Bailey Middle,3.70297E+11,Mecklenburg County,37,http://baileymiddleschool.wearecms.com,11900 Bailey Rd,41-Rural: Fringe,35.4675,-80.838,NC-600-313,Middle,1370,141,1,51,216,149,915,3,35,1370,79.5,17.23
Bain Elementary,3.70297E+11,Mecklenburg County,37,http://bainelementaryschool.wearecms.com,11540 Bain School Rd,21-Suburb: Large,35.174982,-80.648432,NC-600-314,Elementary,932,114,0,41,116,154,577,1,43,932,57.18,16.3
Ballantyne Elementary,3.70297E+11,Mecklenburg County,37,http://ballantyneelementaryschool.wearecms.com,15425 Scholastic Dr,11-City: Large,35.037348,-80.856091,NC-600-437,Elementary,880,87,3,301,100,151,290,1,34,880,55.92,15.74
Berewick Elementary,3.70297E+11,Mecklenburg County,37,http://berewickelementaryschool.wearecms.com,5910 Dixie River Rd,41-Rural: Fringe,35.1739,-80.9788,NC-600-369,Elementary,675,191,0,79,225,275,70,0,26,675,44.84,15.05
Berryhill School,3.70297E+11,Mecklenburg County,37,http://berryhillschool.wearecms.com,10501 Windy Grove Rd,41-Rural: Fringe,35.2128,-80.9905,NC-600-319,Elementary,427,424,0,12,312,59,37,0,7,427,36.55,11.68
