geoid,ncessch,school_name,street_location,city_location,enrollment,school_level,school_type,school_age_kids_in_tract,scl_pct_nonwhite,tract_pct_nonwhite,market_share_total,percent_frl_eligible,meps_poverty_pct,student_teacher_ratio,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_owner_occupied,percent_renter_occupied
37119001910,370297001186,Albemarle Road Elementary,7800 Riding Trail Rd,Charlotte,755,Primary,Regular school,1782,98.1,89,0.17634252539912915,98,32.3,14.8,47,992,1160,43,57
37119001910,370297001187,Albemarle Road Middle,6900 Democracy Drive,Charlotte,897,Middle,Regular school,1782,95.3,89,0.17634252539912915,100,33.3,15.7,47,992,1160,43,57
37119002909,370297001188,Alexander Graham Middle,1800 Runnymede Lane,Charlotte,1270,Middle,Regular school,383,61.9,12.4,0.0875,28,0.8,17.9,20,1632,2325,31,69
37119004304,370297001190,Allenbrook Elementary,1430 Allenbrook Dr,Charlotte,242,Primary,Regular school,1531,96.3,94.3,0.12583518930957685,99,32.7,12.7,77,991,1101,54,46
37119005863,370297002910,Ardrey Kell High School,10220 Ardrey Kell Road,Charlotte,3494,High,Regular school,1243,51.3,36.7,0.1820253164556962,5,0.3,21.3,78,1832,1964,71,29
37119004000,370297001192,Ashley Park PreK-8 School,2401 Belfast Dr,Charlotte,365,Primary,Regular school,1199,99.5,85.6,0.1504046762589928,98,33.2,10.7,66,1073,886,46,54
37119006409,370297002870,Bailey Middle,11900 Bailey Rd,Cornelius,1370,Middle,Regular school,578,33.2,7.7,0.11147433801896044,10,4.6,17.3,59,1221,2120,72,28
37119005714,370297001193,Bain Elementary,11540 Bain School Rd,Mint Hill,932,Primary,Regular school,1219,38.1,20.1,0.11529066927210552,12,7.8,16.4,97,1398,2012,93,7
37119005858,370297003026,Ballantyne Elementary,15425 Scholastic Dr,Charlotte,880,Primary,Regular school,1570,67,55.6,0.2517023346303502,10,5.5,16,35,1752,1598,41,59
37119006222,370297003023,Barnette Elementary,13659 Beatties Ford Rd,Huntersville,700,Primary,Regular school,1105,46.9,20.7,0.0946969696969697,13,6.3,16.3,98,784,1740,92,8
37119005920,370297003103,Berewick Elementary,5910 Dixie River Rd,Charlotte,675,Primary,Regular school,1115,89.6,68.4,0.20821114369501467,28,13.1,15.3,44,790,1334,44,56
37119005920,370297001195,Berryhill School,10501 Windy Grove Rd,Charlotte,427,Primary,Regular school,1115,91.3,68.4,0.20821114369501467,99,32.3,11.9,44,790,1334,44,56
37119003006,370297001196,Beverly Woods Elementary,6001 Quail Hollow Rd,Charlotte,603,Primary,Regular school,949,33.5,16.3,0.11895991332611051,9,0.7,14.7,45,1518,2036,66,34
37119002300,370297001201,Billingsville Elementary,124 Skyland Ave,Charlotte,320,Primary,Regular school,1401,64.7,97.7,0.19518298404754456,43,26.5,12.3,30,908,930,20,80
