GEOID,total_li_units,market_share_total,tenure_renter_occupied,tenure_owner_occupied,tenure_total,percent_renter_occupied,percent_owner_occupied,li_housing_share
37119000101,NA,0.3541666666666667,665,42,707,0.9405940594059405,0.0594059405940594,NA
37119000102,NA,0.1588235294117647,1343,321,1664,0.8070913461538461,0.19290865384615385,NA
37119000103,NA,0.3047619047619048,743,275,1018,0.7298624754420432,0.27013752455795675,NA
37119000104,NA,0.6189336689499252,389,487,876,0.4440639269406393,0.5559360730593608,NA
37119000301,NA,0.6189336689499252,467,88,555,0.8414414414414414,0.15855855855855855,NA
37119000302,NA,0.11009174311926606,495,128,623,0.7945425361155698,0.20545746388443017,NA
37119000401,NA,0.5714285714285714,959,112,1071,0.8954248366013072,0.10457516339869281,NA
37119000402,NA,0.6189336689499252,1215,47,1262,0.9627575277337559,0.03724247226624406,NA
37119000501,NA,0.42038216560509556,623,251,874,0.7128146453089245,0.28718535469107553,NA
37119000502,NA,0.37305699481865284,743,66,809,0.9184177997527813,0.0815822002472188,NA
37119000503,NA,0.18699186991869918,675,413,1088,0.6204044117647058,0.3795955882352941,NA
37119000600,168,0.6506849315068494,1202,378,1580,0.760759493670886,0.23924050632911392,0.10632911392405063
37119000700,NA,0.8936170212765957,754,151,905,0.8331491712707182,0.16685082872928178,NA
37119000800,401,0.6476190476190476,714,599,1313,0.5437928408225438,0.4562071591774562,0.3054074638233054
37119000900,7,0.636986301369863,304,520,824,0.36893203883495146,0.6310679611650486,0.00849514563106796
37119001000,NA,0.8017241379310345,880,796,1676,0.5250596658711217,0.47494033412887826,NA
37119001100,NA,0.41501103752759383,986,710,1696,0.5813679245283019,0.4186320754716981,NA
37119001200,33,0.8629807692307693,838,1154,1992,0.4206827309236948,0.5793172690763052,0.016566265060240965
37119001300,NA,0.5548489666136724,963,844,1807,0.5329275041505257,0.46707249584947425,NA
37119001400,299,0.6030927835051546,796,847,1643,0.4844796104686549,0.515520389531345,0.1819841752891053
37119001504,269,0.871177015755329,1406,1168,2574,0.5462315462315462,0.45376845376845376,0.10450660450660451
37119001505,438,0.8044315992292871,265,1224,1489,0.17797179314976494,0.822028206850235,0.2941571524513096
37119001507,NA,0.6448598130841121,1125,302,1427,0.7883672039243167,0.21163279607568325,NA
37119001508,NA,0.7919762258543833,1001,1402,2403,0.4165626300457761,0.5834373699542239,NA
37119001509,78,0.304282494365139,379,758,1137,0.3333333333333333,0.6666666666666666,0.06860158311345646
37119001510,121,0.6189336689499252,567,610,1177,0.4817332200509771,0.5182667799490229,0.102803738317757
37119001603,NA,0.5488069414316703,1086,677,1763,0.6159954622802042,0.3840045377197958,NA
37119001605,NA,0.7352941176470589,576,193,769,0.7490247074122237,0.25097529258777634,NA
37119001606,NA,0.6278814489571899,950,565,1515,0.6270627062706271,0.37293729372937295,NA
37119001607,NA,0.8813868613138686,855,237,1092,0.782967032967033,0.21703296703296704,NA
37119001608,NA,0.8857901726427623,925,689,1614,0.5731102850061958,0.42688971499380424,NA
37119001609,NA,0.6845827439886846,715,486,1201,0.5953372189841799,0.40466278101582015,NA
37119001701,24,0.7948016415868673,1505,430,1935,0.7777777777777778,0.2222222222222222,0.012403100775193798
37119001702,NA,0.699625468164794,1422,863,2285,0.6223194748358862,0.37768052516411377,NA
37119001801,1,0.6189336689499252,538,195,733,0.7339699863574352,0.2660300136425648,0.001364256480218281
37119001802,NA,0.6585365853658537,969,767,1736,0.5581797235023042,0.44182027649769584,NA
37119001910,150,0.6189336689499252,1090,827,1917,0.5685967657798644,0.43140323422013566,0.0782472613458529
37119001911,78,0.6189336689499252,736,1374,2110,0.34881516587677724,0.6511848341232227,0.03696682464454976
37119001914,NA,0.7609970674486803,828,524,1352,0.6124260355029586,0.3875739644970414,NA
37119001916,NA,0.5786713286713286,536,996,1532,0.34986945169712796,0.6501305483028721,NA
37119001917,NA,0.5394295302013423,678,683,1361,0.4981631153563556,0.5018368846436444,NA
37119001918,128,0.9787985865724381,1282,418,1700,0.7541176470588236,0.24588235294117647,0.07529411764705882
37119001919,NA,0.6189336689499252,680,939,1619,0.420012353304509,0.5799876466954911,NA
37119001920,NA,0.7373175816539264,631,1027,1658,0.38057901085645357,0.6194209891435465,NA
37119001921,NA,0.7168576104746317,257,599,856,0.3002336448598131,0.6997663551401869,NA
37119001922,NA,0.6452955870108243,541,1184,1725,0.3136231884057971,0.6863768115942029,NA
37119001923,216,0.7383561643835617,895,700,1595,0.5611285266457681,0.438871473354232,0.135423197492163
37119001924,NA,0.6189336689499252,509,330,839,0.6066746126340882,0.3933253873659118,NA
37119001925,NA,0.7869379014989293,1337,473,1810,0.7386740331491712,0.2613259668508287,NA
37119001926,NA,0.6830065359477124,1268,508,1776,0.713963963963964,0.28603603603603606,NA
37119001927,NA,0.8470588235294118,1286,0,1286,1,0,NA
37119002004,NA,0.4319526627218935,927,1245,2172,0.42679558011049723,0.5732044198895028,NA
37119002005,NA,0.38524590163934425,1053,293,1346,0.7823179791976226,0.21768202080237742,NA
37119002006,NA,0.45263157894736844,343,1106,1449,0.23671497584541062,0.7632850241545893,NA
37119002007,NA,0.9342560553633218,546,557,1103,0.49501359927470534,0.5049864007252947,NA
37119002008,NA,0.6709511568123393,27,1249,1276,0.02115987460815047,0.9788401253918495,NA
37119002100,NA,0.8352272727272727,784,604,1388,0.5648414985590778,0.43515850144092216,NA
37119002201,NA,0.6292517006802721,456,611,1067,0.42736644798500467,0.5726335520149953,NA
37119002202,NA,0.5949656750572082,586,715,1301,0.4504227517294389,0.5495772482705611,NA
37119002300,327,0.7180667433831991,974,250,1224,0.795751633986928,0.2042483660130719,0.26715686274509803
37119002400,NA,0.6323024054982818,1205,591,1796,0.670935412026726,0.3290645879732739,NA
37119002500,NA,0.425414364640884,994,356,1350,0.7362962962962963,0.2637037037037037,NA
37119002600,153,0.8582089552238806,386,279,665,0.5804511278195489,0.4195488721804511,0.23007518796992482
37119002701,NA,0.18571428571428572,221,1034,1255,0.17609561752988048,0.8239043824701195,NA
37119002702,NA,0.33480500367917587,360,1684,2044,0.1761252446183953,0.8238747553816047,NA
37119002800,NA,0.26380368098159507,89,1462,1551,0.05738233397807866,0.9426176660219213,NA
37119002903,86,0.4469496021220159,975,980,1955,0.49872122762148335,0.5012787723785166,0.043989769820971865
37119002905,NA,0.43670886075949367,345,890,1235,0.2793522267206478,0.7206477732793523,NA
37119002907,NA,0.45394736842105265,749,620,1369,0.5471146822498174,0.4528853177501826,NA
37119002908,NA,0.590288315629742,379,1011,1390,0.27266187050359714,0.7273381294964029,NA
37119002909,NA,0.47384615384615386,593,265,858,0.6911421911421911,0.30885780885780884,NA
37119002910,NA,0.777027027027027,1175,586,1761,0.6672345258375922,0.3327654741624077,NA
37119003006,NA,0.7310252996005326,688,1336,2024,0.33992094861660077,0.6600790513833992,NA
37119003008,55,0.40702479338842973,1082,1568,2650,0.40830188679245283,0.5916981132075472,0.020754716981132074
37119003012,NA,0.6046228710462287,891,986,1877,0.4746936600958977,0.5253063399041022,NA
37119003013,NA,0.6513274336283186,104,1819,1923,0.05408216328653146,0.9459178367134685,NA
37119003015,NA,0.47304170905391657,188,1715,1903,0.09879138202837624,0.9012086179716238,NA
37119003016,160,0.7057808455565142,945,812,1757,0.5378486055776892,0.46215139442231074,0.09106431417188389
37119003017,NA,0.6028833551769331,213,1288,1501,0.1419053964023984,0.8580946035976016,NA
37119003018,NA,0.6294642857142857,419,724,1143,0.3665791776027997,0.6334208223972003,NA
37119003019,NA,0.6210526315789474,87,696,783,0.1111111111111111,0.8888888888888888,NA
37119003020,NA,0.3374880153403643,65,1512,1577,0.04121750158528852,0.9587824984147115,NA
37119003021,NA,0.29265536723163843,396,680,1076,0.3680297397769517,0.6319702602230484,NA
37119003022,NA,0.3150557620817844,198,1383,1581,0.1252371916508539,0.8747628083491461,NA
37119003102,163,0.6189336689499252,1236,950,2186,0.565416285452882,0.434583714547118,0.07456541628545288
37119003105,NA,0.5995893223819302,241,1474,1715,0.14052478134110788,0.8594752186588921,NA
37119003106,NA,0.6593023255813953,520,1314,1834,0.2835332606324973,0.7164667393675027,NA
37119003108,NA,0.7219020172910663,967,501,1468,0.6587193460490464,0.3412806539509537,NA
37119003109,NA,0.8740581270182992,1519,21,1540,0.9863636363636363,0.013636363636363636,NA
37119003110,NA,0.8897058823529411,221,801,1022,0.2162426614481409,0.7837573385518591,NA
37119003111,NA,0.29015544041450775,853,825,1678,0.5083432657926102,0.49165673420738976,NA
37119003201,NA,0.921832884097035,335,885,1220,0.27459016393442626,0.7254098360655737,NA
37119003203,NA,0.6189336689499252,1009,331,1340,0.7529850746268657,0.24701492537313433,NA
37119003204,104,0.7894736842105263,542,1075,1617,0.33518862090290663,0.6648113790970934,0.06431663574520717
37119003301,NA,0.9591836734693877,681,91,772,0.8821243523316062,0.11787564766839378,NA
37119003302,NA,0.9868995633187773,466,724,1190,0.3915966386554622,0.6084033613445378,NA
37119003401,NA,0.678391959798995,599,425,1024,0.5849609375,0.4150390625,NA
37119003402,NA,0.6483870967741936,553,1167,1720,0.32151162790697674,0.6784883720930233,NA
37119003500,NA,0.5979020979020979,626,972,1598,0.39173967459324155,0.6082603254067585,NA
37119003600,99,0.6189336689499252,1233,700,1933,0.6378685980341439,0.3621314019658562,0.0512157268494568
37119003701,NA,0.6521739130434783,1164,0,1164,1,0,NA
37119003702,NA,0.7020725388601037,987,103,1090,0.9055045871559633,0.0944954128440367,NA
37119003802,586,0.5508196721311476,773,440,1213,0.6372629843363561,0.36273701566364386,0.4830997526793075
37119003805,80,0.7428571428571429,1635,365,2000,0.8175,0.1825,0.04
37119003807,707,0.6189336689499252,986,549,1535,0.6423452768729642,0.35765472312703583,0.46058631921824106
37119003808,351,0.9716790289952798,1725,422,2147,0.8034466697717746,0.19655333022822544,0.16348393106660455
37119003809,NA,0.7777777777777778,616,632,1248,0.4935897435897436,0.5064102564102564,NA
37119003810,NA,0.603401969561325,1082,500,1582,0.683944374209861,0.31605562579013907,NA
37119003811,NA,0.6189336689499252,572,375,947,0.604012671594509,0.395987328405491,NA
37119003902,545,0.759493670886076,1301,669,1970,0.6604060913705584,0.3395939086294416,0.2766497461928934
37119003903,NA,0.6189336689499252,813,55,868,0.9366359447004609,0.06336405529953917,NA
37119004000,813,0.6032461677186655,979,822,1801,0.5435868961687951,0.45641310383120487,0.45141588006662964
37119004101,NA,0.4034582132564842,535,273,808,0.6621287128712872,0.3378712871287129,NA
37119004102,NA,0.40714285714285714,761,612,1373,0.5542607428987618,0.4457392571012382,NA
37119004200,NA,0.8653846153846154,833,454,1287,0.6472416472416472,0.35275835275835277,NA
37119004302,211,0.5844961240310077,1080,706,1786,0.6047032474804032,0.39529675251959684,0.11814109742441209
37119004303,189,0.6189336689499252,310,679,989,0.3134479271991911,0.6865520728008089,0.1911021233569262
37119004304,NA,0.5689828801611279,647,748,1395,0.4637992831541219,0.5362007168458781,NA
37119004306,NA,0.7991266375545851,1286,33,1319,0.974981046247157,0.025018953752843062,NA
37119004307,NA,0.38735177865612647,441,1087,1528,0.28861256544502617,0.7113874345549738,NA
37119004400,NA,0.6189336689499252,641,901,1542,0.4156939040207523,0.5843060959792478,NA
37119004500,81,0.8991304347826087,562,733,1295,0.43397683397683395,0.566023166023166,0.06254826254826255
37119004600,81,0.6189336689499252,613,527,1140,0.537719298245614,0.46228070175438596,0.07105263157894737
