ncessch,share_white,share_black,share_hisp,share_asian,share_other
370297001186,2,28,54,15,2
370297001187,5,31,52,10,2
370297001188,38,25,31,3,3
370297001190,4,58,21,12,4
370297002910,49,12,11,25,3
370297003623,0,0,0,0,0
370297003622,0,0,0,0,0
370297001192,1,79,16,2,2
370297002870,67,11,16,4,3
370297001193,62,17,12,4,5
370297003026,33,17,11,34,4
370297003023,53,22,15,4,6
370297003103,10,41,33,12,4
370297001195,9,14,73,3,2
370297001196,67,10,8,11,4
370297001201,35,44,14,2,4
370297002397,12,54,26,5,4
370297001198,4,28,57,10,2
370297001253,3,70,23,2,2
370297002324,32,28,30,7,3
370297001200,49,16,32,3,1
370297003000,17,51,19,8,5
370297002782,66,16,10,4,5
370297003315,27,33,26,10,4
370297003405,18,54,20,4,4
370297001194,8,45,14,31,2
370297003467,5,23,65,6,1
370297003418,14,52,24,8,2
370297002169,22,65,11,1,1
370297003611,9,51,18,17,5
370297003612,10,57,21,8,4
370297001202,24,38,32,2,4
370297001203,3,27,64,5,1
370297001204,24,13,60,1,3
370297002783,40,12,12,33,2
370297001205,63,14,15,4,3
370297001206,33,44,14,5,4
370297001207,4,68,22,3,3
370297002394,47,24,21,5,3
370297003034,13,60,14,5,8
370297000813,22,37,26,10,6
370297000868,4,67,19,4,5
370297001208,75,6,12,3,4
370297001210,3,26,67,2,2
370297001268,66,13,13,3,5
370297003172,66,15,15,2,3
370297001213,0,80,14,3,2
370297001214,19,34,38,7,2
370297001215,66,25,3,2,4
370297001216,5,30,60,3,2
370297001881,68,5,10,13,3
370297001217,9,66,17,4,4
370297002826,41,10,9,38,2
370297002675,38,15,21,21,5
370297001211,5,73,16,1,5
370297002395,37,34,20,4,5
370297003245,4,38,52,4,2
370297001886,3,57,23,14,4
370297002396,2,60,30,5,3
370297003273,73,10,11,4,3
370297001598,10,49,31,2,8
370297001221,2,55,39,3,2
370297003313,34,30,23,9,4
370297002471,44,9,10,29,8
370297002228,4,49,39,7,1
370297001223,3,39,48,7,3
370297001224,2,30,66,1,2
370297002877,36,40,11,5,8
370297002638,37,42,10,6,4
370297001225,3,50,43,1,3
370297002593,26,49,17,3,5
370297002309,3,63,25,6,4
370297001226,62,12,18,3,5
370297001227,10,12,73,3,1
370297001228,7,28,46,18,1
370297001229,22,30,39,6,3
370297000682,22,52,9,14,4
370297001231,4,38,45,11,3
370297001189,9,57,27,3,4
370297002891,69,10,12,5,5
370297002325,5,59,31,3,2
370297002639,48,9,10,29,3
370297002676,4,42,45,6,3
370297002326,2,58,35,2,2
370297001232,11,39,40,8,2
370297000614,10,41,36,7,6
370297001234,35,41,13,6,6
370297003363,4,35,49,10,3
370297002266,8,37,44,8,3
370297003318,57,11,14,15,3
370297001236,9,65,19,3,5
370297002198,6,67,16,8,4
370297002811,9,69,14,4,4
370297003420,0,54,42,1,3
370297002784,1,35,58,2,3
370297001238,55,18,17,5,4
370297002166,49,18,19,8,6
370297001239,14,41,38,5,3
370297002219,48,9,9,31,3
370297003421,35,36,18,6,6
370297002167,4,28,66,1,0
370297001241,18,45,28,6,3
370297003042,5,32,61,1,1
370297002677,36,27,27,6,4
370297001243,5,10,82,1,2
370297002640,9,63,19,5,4
370297001244,60,21,13,3,3
370297001245,41,42,10,4,3
370297001246,1,25,72,1,1
370297001247,2,41,50,4,2
370297003557,27,41,24,2,6
370297001248,9,60,25,3,3
370297001249,14,37,42,3,4
370297001889,4,56,33,3,4
370297001250,34,45,15,2,5
370297001251,4,58,24,8,5
370297003368,17,42,28,5,7
370297002737,7,28,64,1,1
370297001254,74,9,7,7,4
370297001255,13,45,32,6,4
370297003310,27,44,16,6,7
370297001256,63,14,9,10,3
370297003369,6,74,9,6,6
370297001257,6,57,29,4,4
370297002842,11,63,26,0,0
370297002641,4,65,25,4,2
370297001259,19,56,15,7,3
370297001260,29,21,39,3,8
370297001261,7,34,52,4,3
370297001262,6,27,47,18,2
370297003032,46,7,6,36,5
370297002220,68,9,8,12,3
370297002642,77,5,4,7,6
370297001264,17,33,45,3,2
370297001265,20,39,32,4,4
370297001266,32,27,27,13,2
370297001267,2,66,25,4,3
370297003517,43,12,11,28,6
370297002170,7,53,32,3,4
370297001212,2,74,16,6,2
370297003417,1,67,25,4,3
370297003121,10,65,17,3,5
370297003123,20,40,26,8,6
370297003128,5,65,22,4,5
370297003173,4,56,34,2,3
370297001269,40,44,10,2,5
370297001270,72,11,8,5,5
370297001271,44,27,21,3,5
370297001272,75,9,6,6,3
370297000889,36,22,35,3,5
370297001273,38,21,28,6,6
370297000632,63,10,14,9,4
370297001274,30,23,41,2,3
370297003558,4,30,60,3,4
370297002678,13,42,37,5,3
370297003356,3,17,78,0,2
370297001277,1,68,26,3,2
370297001278,4,36,52,5,3
370297001279,2,26,69,1,3
370297003131,4,68,22,2,3
370297001280,2,61,24,12,1
370297002785,47,15,28,4,5
370297003311,42,33,11,7,7
370297001282,2,47,38,10,2
370297000871,2,68,24,0,6
370297000652,5,54,31,5,4
370297001893,1,81,14,1,3
370297003419,6,65,23,3,2
370297003466,20,60,12,5,3
370297002660,1,80,13,1,5
370297001285,2,77,14,4,3
370297001286,3,54,36,4,2
370297001287,2,63,29,3,4
370297003018,7,45,38,6,3
370297003146,5,47,39,6,2
370297003175,70,11,12,3,3
370297003416,65,22,9,2,3
370297003468,3,72,20,4,2
370297001601,2,50,44,1,2
370297001290,3,19,65,9,4
370297002857,28,35,23,10,5
370297001291,3,23,66,8,1
