geoid,market_share,school_age_kids_in_tract,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_owner_occupied,percent_renter_occupied
37119002100,84,645,38,891,1754,4400,5600
37119002201,63,763,54,1207,2718,5700,4300
37119002202,59,535,41,1461,3213,5500,4500
37119002300,72,1401,30,908,930,2000,8000
37119002400,63,372,20,1316,2134,3300,6700
37119002500,43,226,15,1482,2970,2600,7400
37119002600,86,168,30,1383,1929,4200,5800
37119002701,19,476,54,1364,4001,8200,1800
37119002702,33,1512,66,1549,4001,8200,1800
37119002800,26,1031,80,NA,4001,9400,600
37119002903,45,763,39,1385,4001,5000,5000
37119002905,44,861,56,1770,4001,7200,2800
37119002907,45,1097,30,1755,2571,4500,5500
37119002908,59,732,64,1533,2337,7300,2700
37119002909,47,383,20,1632,2325,3100,6900
37119002910,78,385,30,1597,2355,3300,6700
37119003006,73,949,45,1518,2036,6600,3400
37119003008,41,1895,59,1146,2246,5900,4100
37119003012,60,1170,55,1469,2111,5300,4700
37119003013,65,1250,86,1214,2657,9500,500
37119003015,47,1192,93,1746,1911,9000,1000
37119003016,71,1337,38,1448,2362,4600,5400
37119003017,60,856,81,1168,2201,8600,1400
37119003018,63,458,47,1394,1823,6300,3700
37119003019,62,537,82,1151,2921,8900,1100
37119003020,34,1155,90,NA,3391,9600,400
37119003021,29,886,43,1531,3101,6300,3700
37119003022,32,1177,73,1958,2296,8700,1300
37119003102,62,604,48,1184,1688,4300,5700
37119003105,60,687,66,1488,1747,8600,1400
37119003106,66,1501,46,1161,1589,7200,2800
37119003108,72,1015,35,1135,1534,3400,6600
37119003109,87,1397,2,1197,NA,100,9900
37119003110,89,241,79,1826,1557,7800,2200
37119003111,29,842,31,1640,1559,4900,5100
37119003201,92,589,74,985,1564,7300,2700
37119003203,62,425,23,1137,2102,2500,7500
37119003204,79,423,44,1340,1998,6600,3400
37119003301,96,104,13,1494,1991,1200,8800
37119003302,99,371,53,1598,2139,6100,3900
37119003401,68,239,20,1858,1702,4200,5800
37119003402,65,885,58,1611,2918,6800,3200
37119003500,60,237,33,1631,2608,6100,3900
37119003600,62,540,50,1396,1878,3600,6400
37119003701,65,49,1,1515,NA,0,10000
37119003702,70,648,7,1412,1691,900,9100
37119003802,55,956,61,957,976,3600,6400
37119003805,74,585,11,1341,1860,1800,8200
37119003807,62,1779,52,1158,1085,3600,6400
37119003808,97,2470,14,1132,1199,2000,8000
37119003809,78,997,53,1417,1134,5100,4900
37119003810,60,1360,46,1264,951,3200,6800
37119003811,62,346,60,1333,819,4000,6000
37119003902,76,1323,51,945,922,3400,6600
37119003903,62,865,22,579,NA,600,9400
37119004000,60,1199,66,1073,886,4600,5400
37119004101,40,363,27,1372,1648,3400,6600
37119004102,41,448,36,1466,2150,4500,5500
37119004200,87,571,73,1078,1074,3500,6500
37119004302,58,1605,67,1029,876,4000,6000
37119004303,62,331,85,1055,1039,6900,3100
37119004304,57,1531,77,991,1101,5400,4600
37119004306,80,1064,26,1014,NA,300,9700
37119004307,39,1133,97,1190,1199,7100,2900
37119004400,62,1194,86,1139,950,5800,4200
37119004500,90,665,76,926,746,5700,4300
37119004600,62,492,80,1100,883,4600,5400
37119004700,41,245,72,941,1743,4600,5400
37119004800,62,589,75,926,783,3800,6200
37119004900,84,131,94,1125,1197,7500,2500
37119005000,67,647,38,893,1590,4900,5100
37119005100,62,208,62,915,821,3000,7000
37119005200,73,189,61,894,943,3100,6900
37119005301,45,2150,41,934,1217,2900,7100
37119005305,94,1590,69,1071,1025,3900,6100
37119005306,62,778,56,940,873,4800,5200
37119005307,76,1442,26,1083,916,1200,8800
37119005308,62,1449,12,894,943,700,9300
37119005403,51,1605,86,1126,1115,6500,3500
37119005404,89,1144,82,1171,1018,5700,4300
37119005405,68,658,75,1252,1014,6400,3600
37119005406,59,922,76,979,945,5300,4700
37119005508,54,888,94,1734,1581,8200,1800
37119005510,74,3173,69,1281,1240,5800,4200
37119005511,62,615,11,1280,1245,3200,6800
37119005512,68,1754,83,1397,1169,6800,3200
37119005513,55,790,96,1798,1410,8300,1700
37119005515,83,461,67,1679,1541,8800,1200
37119005516,41,548,100,1828,1617,8600,1400
37119005517,60,792,84,1894,1669,7700,2300
37119005519,59,1943,48,1334,1642,4900,5100
37119005520,62,1303,96,1952,1888,9000,1000
37119005522,61,1084,49,1376,1414,3200,6800
37119005525,52,1081,67,1515,1340,5800,4200
37119005526,62,407,86,1877,1575,9000,1000
37119005527,43,764,54,1103,1570,5600,4400
37119005528,82,882,47,1231,1575,5100,4900
37119005529,62,390,43,1603,1620,3300,6700
37119005530,77,828,72,1547,1658,7200,2800
37119005531,42,1513,61,1238,1605,5700,4300
37119005532,55,523,2,1222,1522,1900,8100
37119005533,62,178,11,1366,NA,1200,8800
37119005534,45,833,2,1242,1347,500,9500
37119005535,69,878,34,1220,1295,2300,7700
37119005536,88,854,44,1440,1172,4300,5700
37119005604,15,38,25,826,1333,2100,7900
37119005609,88,301,0,875,NA,600,9400
37119005610,62,490,53,1077,1250,4300,5700
37119005611,66,687,64,1293,1253,5600,4400
37119005612,77,1348,73,1437,1256,7300,2700
37119005613,57,1205,78,1293,1743,7200,2800
37119005615,63,640,97,1837,1671,8800,1200
37119005616,56,893,77,1744,1122,6100,3900
37119005617,62,681,99,1217,1290,9100,900
37119005618,55,777,97,1562,1630,8200,1800
37119005619,62,1342,92,1614,1348,8600,1400
37119005621,51,1766,92,1537,1445,7900,2100
37119005622,70,480,18,902,1153,1600,8400
37119005623,61,530,21,1216,1603,1800,8200
37119005624,62,465,93,1693,1334,8500,1500
37119005625,45,1242,79,1811,1455,8200,1800
37119005626,72,953,98,1498,1406,7800,2200
37119005627,61,3053,85,1456,1347,7900,2100
37119005709,64,614,46,1458,1628,5300,4700
37119005710,81,1173,57,1098,1232,4800,5200
37119005712,77,749,97,1453,1444,9000,1000
37119005713,59,1055,94,1411,1842,9200,800
37119005714,62,1219,97,1398,2012,9300,700
37119005715,46,702,97,1155,1581,9300,700
37119005716,53,1617,79,1380,1343,7800,2200
37119005718,58,629,90,1398,1350,8200,1800
37119005719,79,516,91,862,1488,8200,1800
37119005720,56,344,91,1131,1765,8300,1700
37119005721,57,499,71,2006,1462,7200,2800
37119005722,62,441,96,1628,1445,9100,900
37119005723,62,762,29,1308,1161,3500,6500
37119005811,33,1071,75,1344,1246,7900,2100
37119005815,51,771,51,1285,2367,6600,3400
37119005816,51,833,71,1383,2561,8100,1900
37119005817,61,1149,70,1589,2247,8100,1900
37119005824,76,1826,58,1256,1831,6300,3700
37119005826,70,663,78,1611,1219,6700,3300
37119005827,62,396,22,1147,989,3600,6400
37119005828,34,731,51,1313,1515,8200,1800
37119005829,62,464,1,1153,1375,1100,8900
37119005830,60,832,79,1313,1213,7400,2600
37119005832,55,1003,68,1298,2906,6900,3100
37119005833,48,1028,72,2865,1895,7700,2300
37119005834,73,1057,84,1403,1687,6200,3800
37119005835,57,691,91,1100,1656,8800,1200
37119005836,62,735,87,2040,1389,8800,1200
37119005839,71,486,46,1262,1963,4600,5400
37119005840,87,456,62,1685,2084,6500,3500
37119005843,73,881,72,1862,2031,7500,2500
37119005845,86,1483,55,1745,2165,6200,3800
37119005846,56,1037,93,NA,2817,10000,0
37119005847,50,1254,65,1712,2413,7700,2300
37119005848,61,1351,96,NA,2350,9800,200
37119005849,73,723,87,1946,1932,8800,1200
37119005850,62,395,45,1714,3107,4500,5500
37119005851,80,1182,87,1773,1888,8400,1600
37119005852,62,188,36,1182,2027,3800,6200
37119005853,42,335,10,1248,1188,2500,7500
37119005854,62,338,37,1550,2136,2700,7300
37119005855,69,1332,49,1666,2278,6600,3400
37119005856,62,582,49,1750,2159,6100,3900
37119005857,62,237,22,1454,1680,8500,1500
37119005858,92,1570,35,1752,1598,4100,5900
37119005859,95,591,46,1664,2294,6200,3800
37119005860,72,1330,47,1634,2830,4600,5400
37119005861,62,642,60,1711,1575,7200,2800
37119005862,73,581,85,1944,1862,8500,1500
37119005863,73,1243,78,1832,1964,7100,2900
37119005864,89,1089,79,1836,2431,7300,2700
37119005865,77,417,66,1159,1957,7500,2500
37119005866,62,619,0,1257,957,200,9800
37119005867,62,662,18,1372,1261,3200,6800
37119005868,28,556,53,1041,1160,6100,3900
37119005908,90,269,79,885,2252,8800,1200
37119005910,58,1600,52,1359,1519,4000,6000
37119005913,62,1512,75,1303,1257,6900,3100
37119005915,65,382,3,1426,1642,1400,8600
37119005916,80,799,42,1128,1009,2900,7100
37119005918,66,1620,99,1689,1545,8000,2000
37119005919,55,988,55,735,1515,7500,2500
37119005920,62,1115,44,790,1334,4400,5600
37119005921,61,735,52,1619,2041,6000,4000
37119005922,62,1178,89,1998,1817,8400,1600
37119005923,58,1552,52,1445,1638,4200,5800
37119005924,59,1844,91,1737,1828,7900,2100
37119005925,67,952,100,2267,1767,8800,1200
37119005926,76,1630,99,3075,2470,9200,800
37119005927,51,1609,36,1474,1218,4200,5800
37119005928,75,263,94,NA,1235,8500,1500
37119005929,55,914,40,1617,1554,7100,2900
37119005930,80,589,26,1330,1521,3800,6200
37119005931,88,719,53,1324,1548,6400,3600
37119005932,64,633,44,1276,1543,7100,2900
37119006005,69,921,87,788,1238,8200,1800
37119006008,62,376,92,1500,1236,7500,2500
37119006009,61,953,90,1313,1211,7300,2700
37119006011,62,654,92,1055,1090,7300,2700
37119006012,89,1236,97,1347,1207,8300,1700
37119006013,85,1364,98,1364,1381,8200,1800
37119006014,44,1022,85,1807,1627,8200,1800
37119006015,66,982,94,1767,1318,8600,1400
37119006016,62,814,85,1228,1020,4700,5300
37119006103,69,710,56,1287,2168,5500,4500
37119006105,65,725,97,1652,1558,7200,2800
37119006108,72,1222,85,1513,1205,7900,2100
37119006109,62,748,76,1033,1191,5100,4900
37119006110,79,1557,93,1618,1198,6700,3300
37119006111,94,818,92,1181,1373,6600,3400
37119006112,77,574,20,1407,1072,3200,6800
37119006113,62,346,41,1302,1360,5400,4600
37119006114,62,1064,59,1408,1157,5900,4100
37119006115,29,805,7,1304,NA,0,10000
37119006208,41,922,37,1363,1898,4600,5400
37119006209,39,1170,27,1390,1780,3300,6700
37119006210,50,1145,87,1719,1908,7500,2500
37119006211,41,1871,91,1464,2036,9000,1000
37119006212,61,927,54,1473,1821,5400,4600
37119006214,56,1005,99,1764,1628,9300,700
37119006216,47,328,51,1564,2995,8200,1800
37119006217,57,626,67,1197,2269,6800,3200
37119006218,36,671,90,NA,3041,9600,400
37119006219,19,557,89,NA,3122,9900,100
37119006220,24,392,38,1495,2096,8300,1700
37119006221,72,830,92,1912,1643,8800,1200
37119006222,38,1105,98,784,1740,9200,800
37119006223,50,806,83,1844,1553,8100,1900
37119006224,97,769,42,1427,1295,4300,5700
37119006305,17,1133,91,NA,2103,9300,700
37119006306,62,235,98,NA,1605,9300,700
37119006307,37,1283,65,1449,1938,7200,2800
37119006308,63,1182,67,1650,1916,5900,4100
37119006309,78,577,49,1066,1144,5300,4700
37119006310,78,774,91,NA,1707,7300,2700
37119006311,62,1089,100,2237,2112,9500,500
37119006403,35,710,64,1255,2189,7400,2600
37119006404,60,2011,89,1679,2370,9900,100
37119006407,46,1050,85,1680,1651,6800,3200
37119006408,47,452,30,1310,1760,3500,6500
37119006409,49,578,59,1221,2120,7200,2800
37119006410,79,847,78,1709,1413,7600,2400
37119006411,50,925,73,1146,1393,6900,3100
37119980100,62,0,NA,NA,NA,NA,NA
37119980200,62,0,NA,NA,NA,NA,NA
37119980300,8,0,0,NA,NA,10000,0
