geoid,market_share,school_age_kids_in_tract,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_owner_occupied,percent_renter_occupied
37119000101,35,0,11,1738,NA,600,9400
37119000102,16,18,0,1729,2667,1900,8100
37119000103,30,66,1,1976,2016,2700,7300
37119000104,62,0,6,1789,2609,5600,4400
37119000301,62,7,0,1725,1792,1600,8400
37119000302,11,22,2,1629,2225,2100,7900
37119000401,57,54,1,1556,1900,1000,9000
37119000402,62,11,3,1696,2145,400,9600
37119000501,42,5,3,1619,1887,2900,7100
37119000502,37,277,0,1359,NA,800,9200
37119000503,19,0,16,345,1865,3800,6200
37119000600,65,505,7,1351,2048,2400,7600
37119000700,89,47,18,1598,1925,1700,8300
37119000800,65,646,44,1051,1512,4600,5400
37119000900,64,243,74,1343,1955,6300,3700
37119001000,80,314,49,1361,2227,4700,5300
37119001100,42,565,62,1664,2602,4200,5800
37119001200,86,1466,65,1165,1525,5800,4200
37119001300,55,581,64,1072,1851,4700,5300
37119001400,60,551,55,1518,1725,5200,4800
37119001504,87,1788,52,1107,942,4500,5500
37119001505,80,2199,59,1040,1332,8200,1800
37119001507,64,2599,31,1046,998,2100,7900
37119001508,79,2127,67,963,1231,5800,4200
37119001509,30,1581,71,1100,1044,6700,3300
37119001510,62,650,71,924,1155,5200,4800
37119001603,55,1233,65,1145,1230,3800,6200
37119001605,74,451,38,916,1529,2500,7500
37119001606,63,1574,56,1088,1309,3700,6300
37119001607,88,1326,26,1136,1228,2200,7800
37119001608,89,1329,65,1109,940,4300,5700
37119001609,68,940,40,1063,1223,4000,6000
37119001701,79,1561,21,1114,1774,2200,7800
37119001702,70,2696,44,1024,1272,3800,6200
37119001801,62,219,49,1012,1426,2700,7300
37119001802,66,568,47,936,1301,4400,5600
37119001910,62,1782,47,992,1160,4300,5700
37119001911,62,1471,91,1198,1113,6500,3500
37119001914,76,1109,59,964,1348,3900,6100
37119001916,58,1459,68,1215,1152,6500,3500
37119001917,54,1661,77,1186,1095,5000,5000
37119001918,98,1159,12,1079,1020,2500,7500
37119001919,62,1383,63,970,1226,5800,4200
37119001920,74,2732,71,1310,1109,6200,3800
37119001921,72,804,98,1229,984,7000,3000
37119001922,65,1973,87,1187,1271,6900,3100
37119001923,74,1483,46,1287,1072,4400,5600
37119001924,62,608,43,961,962,3900,6100
37119001925,79,1584,31,1167,1039,2600,7400
37119001926,68,681,20,1060,1290,2900,7100
37119001927,85,817,0,1115,NA,0,10000
37119002004,43,1459,51,1309,1994,5700,4300
37119002005,39,535,17,1655,2584,2200,7800
37119002006,45,860,82,1499,2387,7600,2400
37119002007,93,361,57,833,1398,5000,5000
37119002008,67,526,98,NA,1855,9800,200
