geoid,li_share,tenure_total,subsidized_units_available,ph_share,ph_error,non_ph_units
37119000101,0,707,-1,-0,TRUE,100
37119000102,0,1664,-1,-0,TRUE,100
37119000103,0,1018,-1,-0,TRUE,100
37119000104,0,876,4,0,FALSE,100
37119000301,0,555,-1,-0,TRUE,100
37119000302,0,623,178,29,FALSE,71
37119000401,0,1071,165,15,FALSE,85
37119000402,0,1262,1,0,FALSE,100
37119000501,0,874,36,4,FALSE,96
37119000502,0,809,73,9,FALSE,91
37119000503,0,1088,297,27,FALSE,73
37119000600,10.6,1580,289,18,FALSE,71.4
37119000700,0,905,-1,-0,TRUE,100
37119000800,30.5,1313,99,8,FALSE,61.5
37119000900,0.8,824,79,10,FALSE,89.2
37119001000,0,1676,-1,-0,TRUE,100
37119001100,0,1696,1,0,FALSE,100
37119001200,1.7,1992,83,4,FALSE,94.3
37119001300,0,1807,36,2,FALSE,98
37119001400,18.2,1643,10,1,FALSE,80.8
37119001504,10.5,2574,207,8,FALSE,81.5
37119001505,29.4,1489,15,1,FALSE,69.6
37119001507,0,1427,46,3,FALSE,97
37119001508,0,2403,55,2,FALSE,98
37119001509,6.9,1137,22,2,FALSE,91.1
37119001510,10.3,1177,121,10,FALSE,79.7
37119001603,0,1763,87,5,FALSE,95
37119001605,0,769,8,1,FALSE,99
37119001606,0,1515,9,1,FALSE,99
37119001607,0,1092,14,1,FALSE,99
37119001608,0,1614,60,4,FALSE,96
37119001609,0,1201,75,6,FALSE,94
37119001701,1.2,1935,47,2,FALSE,96.8
37119001702,0,2285,87,4,FALSE,96
37119001801,0.1,733,56,8,FALSE,91.9
37119001802,0,1736,23,1,FALSE,99
37119001910,7.8,1917,115,6,FALSE,86.2
37119001911,3.7,2110,20,1,FALSE,95.3
37119001914,0,1352,50,4,FALSE,96
37119001916,0,1532,26,2,FALSE,98
37119001917,0,1361,9,1,FALSE,99
37119001918,7.5,1700,29,2,FALSE,90.5
37119001919,0,1619,31,2,FALSE,98
37119001920,0,1658,16,1,FALSE,99
37119001921,0,856,11,1,FALSE,99
37119001922,0,1725,34,2,FALSE,98
37119001923,13.5,1595,15,1,FALSE,85.5
37119001924,0,839,75,9,FALSE,91
37119001925,0,1810,32,2,FALSE,98
37119001926,0,1776,59,3,FALSE,97
37119001927,0,1286,7,1,FALSE,99
37119002004,0,2172,7,0,FALSE,100
37119002005,0,1346,6,0,FALSE,100
37119002006,0,1449,-1,-0,TRUE,100
37119002007,0,1103,182,17,FALSE,83
37119002008,0,1276,1,0,FALSE,100
37119002100,0,1388,21,2,FALSE,98
37119002201,0,1067,27,3,FALSE,97
37119002202,0,1301,-1,-0,TRUE,100
37119002300,26.7,1224,479,39,FALSE,34.3
37119002400,0,1796,1,0,FALSE,100
37119002500,0,1350,-1,-0,TRUE,100
37119002600,23,665,98,15,FALSE,62
37119002701,0,1255,-1,-0,TRUE,100
37119002702,0,2044,-1,-0,TRUE,100
37119002800,0,1551,-1,-0,TRUE,100
37119002903,4.4,1955,46,2,FALSE,93.6
37119002905,0,1235,1,0,FALSE,100
37119002907,0,1369,-1,-0,TRUE,100
37119002908,0,1390,47,3,FALSE,97
37119002909,0,858,-1,-0,TRUE,100
37119002910,0,1761,-1,-0,TRUE,100
37119003006,0,2024,12,1,FALSE,99
37119003008,2.1,2650,28,1,FALSE,96.9
37119003012,0,1877,-1,-0,TRUE,100
37119003013,0,1923,1,0,FALSE,100
37119003015,0,1903,5,0,FALSE,100
37119003016,9.1,1757,-1,-0,TRUE,90.9
37119003017,0,1501,31,2,FALSE,98
37119003018,0,1143,-1,-0,TRUE,100
37119003019,0,783,1,0,FALSE,100
37119003020,0,1577,-1,-0,TRUE,100
37119003021,0,1076,1,0,FALSE,100
37119003022,0,1581,1,0,FALSE,100
37119003102,7.5,2186,164,8,FALSE,84.5
37119003105,0,1715,-1,-0,TRUE,100
37119003106,0,1834,46,3,FALSE,97
37119003108,0,1468,53,4,FALSE,96
37119003109,0,1540,11,1,FALSE,99
37119003110,0,1022,2,0,FALSE,100
37119003111,0,1678,27,2,FALSE,98
37119003201,0,1220,-1,-0,TRUE,100
37119003203,0,1340,-1,-0,TRUE,100
37119003204,6.4,1617,117,7,FALSE,86.6
37119003301,0,772,-1,-0,TRUE,100
37119003302,0,1190,138,12,FALSE,88
37119003401,0,1024,-1,-0,TRUE,100
37119003402,0,1720,-1,-0,TRUE,100
37119003500,0,1598,-1,-0,TRUE,100
37119003600,5.1,1933,189,10,FALSE,84.9
37119003701,0,1164,1,0,FALSE,100
37119003702,0,1090,411,38,FALSE,62
37119003802,48.3,1213,206,17,FALSE,34.7
37119003805,4,2000,27,1,FALSE,95
37119003807,46.1,1535,110,7,FALSE,46.9
37119003808,16.3,2147,34,2,FALSE,81.7
37119003809,0,1248,7,1,FALSE,99
37119003810,0,1582,27,2,FALSE,98
37119003811,0,947,88,9,FALSE,91
37119003902,27.7,1970,384,19,FALSE,53.3
37119003903,0,868,451,52,FALSE,48
37119004000,45.1,1801,161,9,FALSE,45.9
37119004101,0,808,15,2,FALSE,98
37119004102,0,1373,8,1,FALSE,99
37119004200,0,1287,72,6,FALSE,94
37119004302,11.8,1786,144,8,FALSE,80.2
37119004303,19.1,989,41,4,FALSE,76.9
37119004304,0,1395,117,8,FALSE,92
37119004306,0,1319,32,2,FALSE,98
37119004307,0,1528,27,2,FALSE,98
37119004400,0,1542,57,4,FALSE,96
37119004500,6.3,1295,100,8,FALSE,85.7
37119004600,7.1,1140,114,10,FALSE,82.9
37119004700,0,450,75,17,FALSE,83
37119004800,4.7,1566,111,7,FALSE,88.3
37119004900,0,272,40,15,FALSE,85
37119005000,45.2,1001,267,27,FALSE,27.799999999999997
37119005100,12,1191,178,15,FALSE,73
37119005200,18.7,772,20,3,FALSE,78.3
37119005301,6.5,1632,41,3,FALSE,90.5
37119005305,3.1,1661,76,5,FALSE,91.9
37119005306,45.8,1092,105,10,FALSE,44.2
37119005307,0,1762,45,3,FALSE,97
37119005308,0,963,16,2,FALSE,98
37119005403,4,1893,38,2,FALSE,94
37119005404,0,1821,161,9,FALSE,91
37119005405,0,1153,25,2,FALSE,98
37119005406,0,1670,164,10,FALSE,90
37119005508,0,1594,14,1,FALSE,99
37119005510,0,2255,34,2,FALSE,98
37119005511,27.4,1815,-1,-0,TRUE,72.6
37119005512,0.1,2154,70,3,FALSE,96.9
37119005513,0,1624,11,1,FALSE,99
37119005515,0,977,2,0,FALSE,100
37119005516,0,674,2,0,FALSE,100
37119005517,0,1783,7,0,FALSE,100
37119005519,0,2295,71,3,FALSE,97
37119005520,0,1582,9,1,FALSE,99
37119005522,0,2040,3,0,FALSE,100
37119005525,0,1352,8,1,FALSE,99
37119005526,0,1126,29,3,FALSE,97
37119005527,0,1376,169,12,FALSE,88
37119005528,0,1849,8,0,FALSE,100
37119005529,0,751,5,1,FALSE,99
37119005530,0,1322,7,1,FALSE,99
37119005531,0,2205,5,0,FALSE,100
37119005532,0,2211,4,0,FALSE,100
37119005533,0,694,1,0,FALSE,100
37119005534,0,2321,-1,-0,TRUE,100
37119005535,0,1798,14,1,FALSE,99
37119005536,0,2533,23,1,FALSE,99
37119005604,0,976,10,1,FALSE,99
37119005609,0,1656,-1,-0,TRUE,100
37119005610,7.2,1249,10,1,FALSE,91.8
37119005611,0,1578,10,1,FALSE,99
37119005612,0,2140,12,1,FALSE,99
37119005613,0,1191,2,0,FALSE,100
37119005615,0,719,1,0,FALSE,100
37119005616,0,728,8,1,FALSE,99
37119005617,17.2,884,15,2,FALSE,80.8
37119005618,0,1015,8,1,FALSE,99
37119005619,0,1640,22,1,FALSE,99
37119005621,0,2270,10,0,FALSE,100
37119005622,0,1061,63,6,FALSE,94
37119005623,0,2184,5,0,FALSE,100
37119005624,0,879,20,2,FALSE,98
37119005625,0,2178,12,1,FALSE,99
37119005626,0,1342,11,1,FALSE,99
37119005627,0,2299,34,1,FALSE,99
37119005709,0,1965,2,0,FALSE,100
37119005710,0,1902,11,1,FALSE,99
37119005712,0,1238,2,0,FALSE,100
37119005713,0,1621,-1,-0,TRUE,100
37119005714,0,2205,3,0,FALSE,100
37119005715,0,1006,-1,-0,TRUE,100
37119005716,4.6,1857,54,3,FALSE,92.4
37119005718,0,1333,1,0,FALSE,100
37119005719,0,1465,-1,-0,TRUE,100
37119005720,0,963,-1,-0,TRUE,100
37119005721,0,1430,2,0,FALSE,100
37119005722,0,825,2,0,FALSE,100
37119005723,0,1470,-1,-0,TRUE,100
37119005811,4.2,1840,30,2,FALSE,93.8
37119005815,0,1535,-1,-0,TRUE,100
37119005816,0,1652,1,0,FALSE,100
37119005817,0,1637,1,0,FALSE,100
37119005824,18.3,1624,78,5,FALSE,76.7
37119005826,0,1081,3,0,FALSE,100
37119005827,0,1135,20,2,FALSE,98
37119005828,0,1711,2,0,FALSE,100
37119005829,0,931,39,4,FALSE,96
37119005830,0,1451,3,0,FALSE,100
37119005832,0,1002,-1,-0,TRUE,100
37119005833,0,1947,-1,-0,TRUE,100
37119005834,0,1531,2,0,FALSE,100
37119005835,0,915,-1,-0,TRUE,100
37119005836,0,1378,1,0,FALSE,100
37119005839,0,1221,-1,-0,TRUE,100
37119005840,0,792,-1,-0,TRUE,100
37119005843,0,1169,1,0,FALSE,100
37119005845,0,2003,-1,-0,TRUE,100
37119005846,0,1258,-1,-0,TRUE,100
37119005847,0,1906,-1,-0,TRUE,100
37119005848,0,1559,-1,-0,TRUE,100
37119005849,0,1217,-1,-0,TRUE,100
37119005850,0,1002,-1,-0,TRUE,100
37119005851,0,1590,-1,-0,TRUE,100
37119005852,0,1215,1,0,FALSE,100
37119005853,0,1137,-1,-0,TRUE,100
37119005854,0,1236,-1,-0,TRUE,100
37119005855,0,1747,2,0,FALSE,100
37119005856,0,995,1,0,FALSE,100
37119005857,0,900,-1,-0,TRUE,100
37119005858,0,1503,-1,-0,TRUE,100
37119005859,0,1239,-1,-0,TRUE,100
37119005860,0,1714,-1,-0,TRUE,100
37119005861,0,1368,-1,-0,TRUE,100
37119005862,0,1100,1,0,FALSE,100
37119005863,0,1286,-1,-0,TRUE,100
37119005864,0,1668,2,0,FALSE,100
37119005865,0,821,-1,-0,TRUE,100
37119005866,0,1999,-1,-0,TRUE,100
37119005867,0,1620,119,7,FALSE,93
37119005868,0,931,2,0,FALSE,100
37119005908,0,873,-1,-0,TRUE,100
37119005910,0,2042,5,0,FALSE,100
37119005913,5.2,2804,21,1,FALSE,93.8
37119005915,6.2,1386,5,0,FALSE,93.8
37119005916,19.3,870,7,1,FALSE,79.7
37119005918,0,1590,7,0,FALSE,100
37119005919,0,1319,12,1,FALSE,99
37119005920,0,873,-1,-0,TRUE,100
37119005921,0,1326,-1,-0,TRUE,100
37119005922,0,1410,3,0,FALSE,100
37119005923,0,1763,131,7,FALSE,93
37119005924,0,1976,2,0,FALSE,100
37119005925,0,972,2,0,FALSE,100
37119005926,0,2313,2,0,FALSE,100
37119005927,0,2474,66,3,FALSE,97
37119005928,0,525,4,1,FALSE,99
37119005929,0,1684,36,2,FALSE,98
37119005930,0,1230,4,0,FALSE,100
37119005931,0,1393,8,1,FALSE,99
37119005932,0,960,4,0,FALSE,100
37119006005,0,1128,16,1,FALSE,99
37119006008,4.4,1407,24,2,FALSE,93.6
37119006009,0,1311,25,2,FALSE,98
37119006011,0,932,38,4,FALSE,96
37119006012,0,1513,35,2,FALSE,98
37119006013,0,1597,32,2,FALSE,98
37119006014,0,1386,8,1,FALSE,99
37119006015,0,1352,34,3,FALSE,97
37119006016,0,959,46,5,FALSE,95
37119006103,11.8,1709,60,4,FALSE,84.2
37119006105,0,1083,9,1,FALSE,99
37119006108,9.2,1759,37,2,FALSE,88.8
37119006109,5.9,1279,52,4,FALSE,90.1
37119006110,0,2221,38,2,FALSE,98
37119006111,0,1393,24,2,FALSE,98
37119006112,0,1039,43,4,FALSE,96
37119006113,0,1531,-1,-0,TRUE,100
37119006114,0,1383,11,1,FALSE,99
37119006115,0,1962,-1,-0,TRUE,100
37119006208,0,1594,-1,-0,TRUE,100
37119006209,0,2362,1,0,FALSE,100
37119006210,0,1766,1,0,FALSE,100
37119006211,0,2373,1,0,FALSE,100
37119006212,0,1785,2,0,FALSE,100
37119006214,0,1383,5,0,FALSE,100
37119006216,0,848,-1,-0,TRUE,100
37119006217,0,1355,-1,-0,TRUE,100
37119006218,0,1017,-1,-0,TRUE,100
37119006219,0,1074,-1,-0,TRUE,100
37119006220,0,1512,-1,-0,TRUE,100
37119006221,0,1300,-1,-0,TRUE,100
37119006222,0,1378,1,0,FALSE,100
37119006223,0,878,4,0,FALSE,100
37119006224,0,1247,6,0,FALSE,100
37119006305,0,1307,-1,-0,TRUE,100
37119006306,0,472,-1,-0,TRUE,100
37119006307,0,1792,43,2,FALSE,98
37119006308,0,1701,10,1,FALSE,99
37119006309,0,810,18,2,FALSE,98
37119006310,0,1112,1,0,FALSE,100
37119006311,0,1355,-1,-0,TRUE,100
37119006403,1.8,1746,18,1,FALSE,97.2
37119006404,0,2532,2,0,FALSE,100
37119006407,0,1445,-1,-0,TRUE,100
37119006408,0,1358,-1,-0,TRUE,100
37119006409,0,1543,9,1,FALSE,99
37119006410,0,1361,-1,-0,TRUE,100
37119006411,0,1149,31,3,FALSE,97
37119980100,0,0,-1,0,TRUE,100
37119980200,0,0,-1,0,TRUE,100
37119980300,0,12,-1,-8,TRUE,100
