geoid,ncessch,school_name,street_location,city_location,enrollment,school_level,school_type,school_age_kids_in_tract,tract_pct_nonwhite,market_share_total,scl_pct_nonwhite,share_frl_eligible,meps_poverty_pct,student_teacher_ratio,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_renter_occupied,percent_owner_occupied
37119001910,370297001186,Albemarle Road Elementary School,7800 Riding Trail Rd,Charlotte,755,Primary,Regular school,1782,89,0.6189336689499252,98.1,98.3,32.3,14.8,47,992,1160,57,43
37119001910,370297001187,Albemarle Road Middle School,6900 Democracy Drive,Charlotte,897,Middle,Regular school,1782,89,0.6189336689499252,95.3,99.7,33.3,15.7,47,992,1160,57,43
37119002909,370297001188,Alexander Graham Middle School,1800 Runnymede Lane,Charlotte,1270,Middle,Regular school,383,12.4,0.47384615384615386,61.9,27.8,0.8,17.9,20,1632,2325,69,31
37119004304,370297001190,Allenbrook Elementary School,1430 Allenbrook Dr,Charlotte,242,Primary,Regular school,1531,94.3,0.5689828801611279,96.3,98.8,32.7,12.7,77,991,1101,46,54
37119005863,370297002910,Ardrey Kell High School,10220 Ardrey Kell Road,Charlotte,3494,High,Regular school,1243,36.7,0.7321792260692465,51.3,4.8,0.3,21.3,78,1832,1964,29,71
37119004000,370297001192,Ashley Park PreK-8 School,2401 Belfast Dr,Charlotte,365,Primary,Regular school,1199,85.6,0.6032461677186655,99.5,97.8,33.2,10.7,66,1073,886,54,46
37119006409,370297002870,Bailey Middle School,11900 Bailey Rd,Cornelius,1370,Middle,Regular school,578,7.7,0.48783977110157367,33.2,10.3,4.6,17.3,59,1221,2120,28,72
37119005714,370297001193,Bain Elementary School,11540 Bain School Rd,Mint Hill,932,Primary,Regular school,1219,20.1,0.6237885462555066,38.1,12.2,7.8,16.4,97,1398,2012,7,93
37119005858,370297003026,Ballantyne Elementary School,15425 Scholastic Dr,Charlotte,880,Primary,Regular school,1570,55.6,0.9208185053380784,67,9.9,5.5,16,35,1752,1598,59,41
37119006222,370297003023,Barnette Elementary School,13659 Beatties Ford Rd,Huntersville,700,Primary,Regular school,1105,20.7,0.37537537537537535,46.9,12.9,6.3,16.3,98,784,1740,8,92
37119005920,370297003103,Berewick Elementary School,5910 Dixie River Rd,Charlotte,675,Primary,Regular school,1115,68.4,0.6189336689499252,89.6,28.3,13.1,15.3,44,790,1334,56,44
37119005920,370297001195,Berryhill Elementary School,10501 Windy Grove Rd,Charlotte,427,Primary,Regular school,1115,68.4,0.6189336689499252,91.3,99.3,32.3,11.9,44,790,1334,56,44
37119003006,370297001196,Beverly Woods Elementary School,6001 Quail Hollow Rd,Charlotte,603,Primary,Regular school,949,16.3,0.7310252996005326,33.5,9.3,0.7,14.7,45,1518,2036,34,66
37119002300,370297001201,Billingsville Elementary School,124 Skyland Ave,Charlotte,320,Primary,Regular school,1401,97.7,0.7180667433831991,64.7,43.4,26.5,12.3,30,908,930,80,20
37119006306,370297002397,Blythe Elementary School,12202 Hambright Rd,Huntersville,856,Primary,Regular school,235,23.5,0.6189336689499252,88.3,29.4,15.1,16.2,98,NA,1605,7,93
