geoid,share_white_kids,share_black_kids,share_hispanic_kids,share_asian_kids,share_other_kids
37119000101,NA,NA,NA,NA,NA
37119000102,100,0,0,0,0
37119000103,71,0,29,0,0
37119000104,NA,NA,NA,NA,NA
37119000301,100,0,0,0,0
37119000302,27,73,0,0,0
37119000401,57,43,0,0,0
37119000402,100,0,0,0,0
37119000501,0,100,0,0,0
37119000502,57,43,0,0,0
37119000503,NA,NA,NA,NA,NA
37119000600,3,85,6,0,6
37119000700,0,100,0,0,0
37119000800,7,91,0,2,0
37119000900,29,59,12,0,0
37119001000,100,0,0,0,0
37119001100,100,0,0,0,0
37119001200,28,10,40,0,22
37119001300,34,39,15,0,12
37119001400,39,40,19,0,1
37119001504,6,50,15,15,13
37119001505,3,4,58,3,37
37119001507,3,20,49,0,29
37119001508,4,45,36,1,17
37119001509,0,59,29,3,11
37119001510,1,63,17,3,17
37119001603,10,33,40,1,21
37119001605,9,20,38,5,31
37119001606,5,21,36,9,33
37119001607,3,30,37,0,32
37119001608,4,31,37,10,22
37119001609,0,19,56,2,23
37119001701,5,29,37,0,29
37119001702,10,18,40,5,28
37119001801,38,60,0,2,0
37119001802,21,44,21,5,15
37119001910,0,19,49,11,26
37119001911,9,38,22,12,21
37119001914,24,31,26,11,10
37119001916,8,51,20,8,14
37119001917,15,17,41,3,27
37119001918,7,38,34,0,21
37119001919,10,15,41,8,30
37119001920,10,10,45,2,35
37119001921,13,29,33,13,13
37119001922,9,40,30,0,21
37119001923,8,26,38,0,32
37119001924,0,20,32,39,9
37119001925,4,56,18,4,18
37119001926,3,70,10,0,17
37119001927,0,29,44,0,32
37119002004,38,35,24,3,0
37119002005,54,18,14,19,0
37119002006,100,0,0,0,0
37119002007,31,39,0,30,0
37119002008,74,26,0,0,0
37119002100,72,22,5,0,2
37119002201,80,2,15,2,2
37119002202,90,0,8,2,0
37119002300,0,92,6,0,3
37119002400,93,7,0,0,0
37119002500,85,8,8,0,0
37119002600,86,4,0,2,8
37119002701,76,0,19,0,5
37119002702,87,0,6,7,1
37119002800,100,0,0,0,0
37119002903,96,0,0,4,0
37119002905,96,0,3,0,1
37119002907,57,5,8,30,0
37119002908,90,0,10,0,0
37119002909,82,0,0,18,0
37119002910,90,10,0,0,0
37119003006,82,1,9,8,0
37119003008,73,7,11,2,11
37119003012,60,29,7,1,3
37119003013,92,0,5,3,0
37119003015,81,4,11,3,0
37119003016,51,8,4,37,1
37119003017,82,11,6,1,0
37119003018,80,3,7,9,0
37119003019,98,2,0,0,0
37119003020,94,2,0,4,0
37119003021,91,1,4,4,0
37119003022,93,0,2,5,1
37119003102,28,9,37,0,26
37119003105,91,1,6,0,1
37119003106,17,17,60,2,9
37119003108,11,37,52,0,4
37119003109,3,25,71,0,8
37119003110,55,0,54,0,0
37119003111,100,0,0,0,0
37119003201,56,4,25,0,24
37119003203,79,21,2,0,0
37119003204,87,3,10,0,0
37119003301,65,0,24,0,24
37119003302,98,0,0,2,0
37119003401,74,0,26,0,0
37119003402,95,0,1,4,0
37119003500,79,0,8,14,0
37119003600,14,51,19,0,16
37119003701,31,69,0,0,0
37119003702,8,58,17,0,17
37119003802,0,72,20,0,8
37119003805,18,28,17,37,0
37119003807,1,26,60,0,16
37119003808,1,18,65,1,19
37119003809,10,43,24,8,22
37119003810,0,32,58,15,3
37119003811,0,88,12,0,0
37119003902,0,87,8,0,6
37119003903,1,65,19,5,10
37119004000,0,85,6,4,7
37119004101,12,88,0,0,0
37119004102,10,27,34,29,0
37119004200,0,90,10,0,0
37119004302,2,62,20,3,12
37119004303,0,35,30,15,20
37119004304,1,59,17,9,14
37119004306,0,14,57,0,29
37119004307,14,75,7,4,7
37119004400,8,44,22,4,21
37119004500,18,70,2,10,0
37119004600,0,85,7,0,7
